iso3,Date,CPI YoY
ARE,2009-01-01,5.350237953599037
ARE,2009-02-01,5.350237953599037
ARE,2009-03-01,5.350237953599037
ARE,2009-04-01,1.474521142031062
ARE,2009-05-01,1.474521142031062
ARE,2009-06-01,1.474521142031062
ARE,2009-07-01,-0.1902815462137559
ARE,2009-08-01,-0.1902815462137559
ARE,2009-09-01,-0.1902815462137559
ARE,2009-10-01,-0.1822770611329302
ARE,2009-11-01,-0.1822770611329302
ARE,2009-12-01,-0.1822770611329302
ARE,2010-01-01,-0.0070584083289199
ARE,2010-02-01,-0.0070584083289199
ARE,2010-03-01,-0.0070584083289199
ARE,2010-04-01,0.8690077640857258
ARE,2010-05-01,0.8690077640857258
ARE,2010-06-01,0.8690077640857258
ARE,2010-07-01,0.970873786407777
ARE,2010-08-01,0.970873786407777
ARE,2010-09-01,0.970873786407777
ARE,2010-10-01,1.675094816687751
ARE,2010-11-01,1.675094816687751
ARE,2010-12-01,1.675094816687751
ARE,2011-01-01,1.443546394663465
ARE,2011-02-01,1.443546394663465
ARE,2011-03-01,1.443546394663465
ARE,2011-04-01,1.422922110020506
ARE,2011-05-01,1.422922110020506
ARE,2011-06-01,1.422922110020506
ARE,2011-07-01,0.6573426573426859
ARE,2011-08-01,0.6573426573426859
ARE,2011-09-01,0.6573426573426859
ARE,2011-10-01,0.0069077470383127
ARE,2011-11-01,0.0069077470383127
ARE,2011-12-01,0.0069077470383127
ARE,2012-01-01,0.6332196785192629
ARE,2012-02-01,0.6332196785192629
ARE,2012-03-01,0.6332196785192629
ARE,2012-04-01,0.6510008703220317
ARE,2012-05-01,0.6510008703220317
ARE,2012-06-01,0.6510008703220317
ARE,2012-07-01,0.8197860219535981
ARE,2012-08-01,0.8197860219535981
ARE,2012-09-01,0.8197860219535981
ARE,2012-10-01,0.5456743222240963
ARE,2012-11-01,0.5456743222240963
ARE,2012-12-01,0.5456743222240963
ARE,2013-01-01,0.726040658276838
ARE,2013-02-01,0.726040658276838
ARE,2013-03-01,0.726040658276838
ARE,2013-04-01,1.041090204759233
ARE,2013-05-01,1.041090204759233
ARE,2013-06-01,1.041090204759233
ARE,2013-07-01,1.264470782800388
ARE,2013-08-01,1.264470782800388
ARE,2013-09-01,1.264470782800388
ARE,2013-10-01,1.370521760038501
ARE,2013-11-01,1.370521760038501
ARE,2013-12-01,1.370521760038501
ARE,2014-01-01,1.681883709754933
ARE,2014-02-01,1.681883709754933
ARE,2014-03-01,1.681883709754933
ARE,2014-04-01,2.129189059665249
ARE,2014-05-01,2.129189059665249
ARE,2014-06-01,2.129189059665249
ARE,2014-07-01,2.551801571909805
ARE,2014-08-01,2.551801571909805
ARE,2014-09-01,2.551801571909805
ARE,2014-10-01,3.012333965844395
ARE,2014-11-01,3.012333965844395
ARE,2014-12-01,3.012333965844395
ARE,2015-01-01,3.86510937078043
ARE,2015-02-01,3.86510937078043
ARE,2015-03-01,3.86510937078043
ARE,2015-04-01,4.263448969331326
ARE,2015-05-01,4.263448969331326
ARE,2015-06-01,4.263448969331326
ARE,2015-07-01,4.55525695895953
ARE,2015-08-01,4.55525695895953
ARE,2015-09-01,4.55525695895953
ARE,2015-10-01,3.598565836650099
ARE,2015-11-01,3.598565836650099
ARE,2015-12-01,3.598565836650099
ARE,2016-01-01,2.057265429490747
ARE,2016-02-01,2.057265429490747
ARE,2016-03-01,2.057265429490747
ARE,2016-04-01,1.668434757450079
ARE,2016-05-01,1.668434757450079
ARE,2016-06-01,1.668434757450079
ARE,2016-07-01,1.266103953798339
ARE,2016-08-01,1.266103953798339
ARE,2016-09-01,1.266103953798339
ARE,2016-10-01,1.489125257977476
ARE,2016-11-01,1.489125257977476
ARE,2016-12-01,1.489125257977476
ARE,2017-01-01,2.639959238265092
ARE,2017-02-01,2.639959238265092
ARE,2017-03-01,2.639959238265092
ARE,2017-04-01,2.017327515335489
ARE,2017-05-01,2.017327515335489
ARE,2017-06-01,2.017327515335489
ARE,2017-07-01,1.03719487356249
ARE,2017-08-01,1.03719487356249
ARE,2017-09-01,1.03719487356249
ARE,2017-10-01,2.18370667000374
ARE,2017-11-01,2.18370667000374
ARE,2017-12-01,2.18370667000374
ARE,2018-01-01,4.187611328738752
ARE,2018-02-01,4.187611328738752
ARE,2018-03-01,4.187611328738752
ARE,2018-04-01,3.436115345008393
ARE,2018-05-01,3.436115345008393
ARE,2018-06-01,3.436115345008393
ARE,2018-07-01,3.578107254822616
ARE,2018-08-01,3.578107254822616
ARE,2018-09-01,3.578107254822616
ARE,2018-10-01,1.098465030721983
ARE,2018-11-01,1.098465030721983
ARE,2018-12-01,1.098465030721983
ARE,2019-01-01,-2.466303525709443
ARE,2019-02-01,-2.466303525709443
ARE,2019-03-01,-2.466303525709443
ARE,2019-04-01,-1.555616106636411
ARE,2019-05-01,-1.555616106636411
ARE,2019-06-01,-1.555616106636411
ARE,2019-07-01,-2.139169445824408
ARE,2019-08-01,-2.139169445824408
ARE,2019-09-01,-2.139169445824408
ARE,2019-10-01,-1.555785132014481
ARE,2019-11-01,-1.555785132014481
ARE,2019-12-01,-1.555785132014481
ARE,2020-01-01,-1.411896570200866
ARE,2020-02-01,-1.411896570200866
ARE,2020-03-01,-1.411896570200866
ARE,2020-04-01,-2.308925637713952
ARE,2020-05-01,-2.308925637713952
ARE,2020-06-01,-2.308925637713952
ARE,2020-07-01,-2.369945850156884
ARE,2020-08-01,-2.369945850156884
ARE,2020-09-01,-2.369945850156884
ARE,2020-10-01,-2.227863690840307
ARE,2020-11-01,-2.227863690840307
