date,iso3,yield,spread
2019-11-01,RUS,6.406499999999999,4.594394736842105
2019-12-01,RUS,6.356666666666667,4.493809523809524
2020-01-01,RUS,6.2235,4.465880952380951
2020-02-01,RUS,6.1354999999999995,4.63128947368421
2020-03-01,RUS,7.165,6.295
2020-04-01,RUS,6.486818181818182,5.8291991341991345
2020-05-01,RUS,5.713684210526316,5.039684210526316
2020-06-01,RUS,5.647,4.918363636363637
2020-07-01,RUS,5.8536363636363635,5.2299999999999995
2020-08-01,RUS,6.057142857142857,5.407142857142857
2020-09-01,RUS,6.22,5.54047619047619
2020-10-01,RUS,6.056818181818182,5.269675324675324
2020-11-01,RUS,5.900714285714286,5.030714285714286
2020-12-01,RUS,5.879545454545454,4.94590909090909
2021-01-01,RUS,6.106842105263158,5.025789473684211
2021-02-01,RUS,6.510238095238096,5.252343358395991
2021-03-01,RUS,6.911739130434783,5.300869565217392
2021-04-01,RUS,7.158636363636364,5.523636363636364
2021-05-01,RUS,7.138,5.5169999999999995
2021-06-01,RUS,7.208181818181819,5.689090909090909
2021-07-01,RUS,7.117727272727273,5.799155844155845
2021-08-01,RUS,6.997272727272727,5.714090909090909
2021-09-01,RUS,7.124090909090909,5.749329004329004
2021-10-01,RUS,7.621904761904762,6.039404761904763
2021-11-01,RUS,8.306190476190476,6.7466904761904765
2021-12-01,RUS,8.481363636363637,7.0163636363636375
2022-01-01,RUS,9.16421052631579,7.40021052631579
2022-02-01,RUS,10.543684210526317,8.609473684210528
2022-03-01,RUS,13.651538461538461,11.52371237458194
2022-04-01,RUS,10.636190476190475,7.889190476190475
2022-05-01,RUS,10.047222222222222,7.149603174603175
2022-06-01,RUS,8.95625,5.812916666666667
2022-07-01,RUS,9.204285714285714,6.303285714285714
2022-08-01,RUS,9.183636363636364,6.285810276679841
2022-09-01,RUS,9.810454545454546,6.291406926406927
2022-10-01,RUS,9.842142857142857,5.858642857142857
2022-11-01,RUS,10.017380952380952,6.126380952380952
2022-12-01,RUS,10.245,6.628333333333332
2023-01-01,RUS,10.433095238095238,6.901595238095238
2023-02-01,RUS,10.85578947368421,7.1089473684210525
2023-03-01,RUS,10.907045454545456,7.244001976284586
2023-04-01,RUS,10.533,7.0729999999999995
2023-05-01,RUS,10.681190476190476,7.114372294372295
2023-06-01,RUS,10.79625,7.0495833333333335
2025-04-01,RUS,15.673,11.393952380952381
2025-05-01,RUS,15.7935,11.369690476190476
2025-06-01,RUS,15.0686,10.6851
2025-07-01,RUS,14.678857142857142,10.286857142857142
1998-06-01,SGP,5.33,-0.16636363636363605
1998-07-01,SGP,5.377391304347826,-0.08397233201581056
1998-08-01,SGP,5.511,0.1690952380952382
1998-09-01,SGP,5.503636363636364,0.6969696969696972
1998-10-01,SGP,4.777142857142857,0.24714285714285733
1998-11-01,SGP,4.520952380952381,-0.3064160401002507
1998-12-01,SGP,4.499545454545454,-0.1454545454545455
1999-01-01,SGP,4.398421052631579,-0.3236842105263156
1999-02-01,SGP,4.416666666666667,-0.5822807017543861
1999-03-01,SGP,4.36,-0.8726086956521737
1999-04-01,SGP,4.0876190476190475,-1.096926406926407
1999-05-01,SGP,4.25047619047619,-1.2890238095238091
1999-06-01,SGP,4.569090909090909,-1.3304545454545451
1999-07-01,SGP,4.645,-1.1469047619047625
1999-08-01,SGP,4.809523809523809,-1.1295670995670992
1999-09-01,SGP,4.659545454545455,-1.25569264069264
1999-10-01,SGP,4.602857142857142,-1.5091428571428578
1999-11-01,SGP,4.6223809523809525,-1.4116190476190473
1999-12-01,SGP,4.558636363636364,-1.7168181818181818
2000-01-01,SGP,4.634285714285714,-2.0267142857142852
2000-02-01,SGP,4.3035,-2.2159999999999993
2000-03-01,SGP,4.2309090909090905,-2.025612648221345
2000-04-01,SGP,4.192631578947368,-1.7978947368421059
2000-05-01,SGP,4.451428571428572,-1.9890259740259735
2000-06-01,SGP,4.532727272727272,-1.5645454545454553
2000-07-01,SGP,4.642857142857143,-1.411142857142857
2000-08-01,SGP,4.532727272727272,-1.293359683794467
2000-09-01,SGP,4.5338095238095235,-1.2651904761904769
2000-10-01,SGP,4.375,-1.3672727272727272
2000-11-01,SGP,4.283636363636363,-1.4290909090909096
2000-12-01,SGP,4.124736842105263,-1.1052631578947363
2001-01-01,SGP,3.825,-1.338043478260869
2001-02-01,SGP,3.54,-1.5589473684210526
2001-03-01,SGP,3.6233333333333335,-1.2621212121212122
2001-04-01,SGP,3.6410000000000005,-1.4999999999999996
2001-05-01,SGP,3.5656521739130436,-1.825711462450593
2001-06-01,SGP,3.572857142857143,-1.7114285714285709
2001-07-01,SGP,3.5986363636363636,-1.6375541125541133
2001-08-01,SGP,3.5865217391304345,-1.3847826086956525
2001-09-01,SGP,3.475,-1.2624999999999997
2001-10-01,SGP,3.273913043478261,-1.2908695652173914
2001-11-01,SGP,3.322857142857143,-1.3286428571428575
2001-12-01,SGP,3.8631578947368426,-1.2243421052631578
2002-01-01,SGP,3.7172727272727273,-1.3184415584415583
2002-02-01,SGP,3.8516666666666666,-1.059912280701754
2002-03-01,SGP,3.967,-1.3170000000000006
2002-04-01,SGP,3.9918181818181817,-1.21961038961039
2002-05-01,SGP,3.9250000000000003,-1.2395454545454547
2002-06-01,SGP,3.7125,-1.214
2002-07-01,SGP,3.7665217391304346,-0.8866600790513837
2002-08-01,SGP,3.5136363636363637,-0.7436363636363632
2002-09-01,SGP,3.4490476190476196,-0.4209523809523805
2002-10-01,SGP,3.199130434782609,-0.7417786561264821
2002-11-01,SGP,2.933,-1.1259999999999994
2002-12-01,SGP,2.8333333333333335,-1.1990476190476183
2003-01-01,SGP,2.5931818181818183,-1.4553896103896098
2003-02-01,SGP,2.3405555555555555,-1.5620760233918132
