year,iso3c,mineral_rent
2000,ARE,0.0
2001,ARE,0.0
2002,ARE,0.0
2003,ARE,0.0
2004,ARE,0.0
2005,ARE,0.0
2006,ARE,0.0
2007,ARE,0.0
2008,ARE,0.0
2009,ARE,0.0
2010,ARE,0.0
2011,ARE,0.0
2012,ARE,0.0
2013,ARE,0.0
2014,ARE,0.0
2015,ARE,0.0
2016,ARE,0.0
2017,ARE,0.0
2018,ARE,0.0
2019,ARE,0.0
2020,ARE,0.0
2021,ARE,0.0
1995,ARG,0.00619887926665339
1996,ARG,0.00551745731755889
1997,ARG,0.00453797627963355
1998,ARG,0.0142563343869074
1999,ARG,0.0222519842190338
2000,ARG,0.00202036861517756
2001,ARG,0.00111911886452934
2002,ARG,0.199715933167191
2003,ARG,0.189784357636658
2004,ARG,0.226514483940778
2005,ARG,0.208636458798292
2006,ARG,0.550799857825752
2007,ARG,0.431152490862906
2008,ARG,0.308451843578567
2009,ARG,0.299002837971809
2010,ARG,0.522757302492207
2011,ARG,0.516427776041125
2012,ARG,0.43194166388869
2013,ARG,0.230446181526568
2014,ARG,0.237871846918485
2015,ARG,0.0765780091289773
2016,ARG,0.145541934044561
2017,ARG,0.103008865365039
2018,ARG,0.182567164137328
2019,ARG,0.187297066049264
2020,ARG,0.257461778111357
2021,ARG,0.580266654524776
1995,ARM,0.551537755498149
1996,ARM,0.281076391002587
1997,ARM,0.291894848617053
1998,ARM,0.0881702579319577
1999,ARM,0.148454246560283
2000,ARM,0.271357451879854
2001,ARM,0.280957151718485
2002,ARM,0.570610604200193
2003,ARM,0.00616525937825295
2004,ARM,0.0
2005,ARM,0.0
2006,ARM,0.0
2007,ARM,0.0
2008,ARM,0.0
2009,ARM,0.0329940571447964
2010,ARM,2.35660274177231
2011,ARM,2.46981729034823
2012,ARM,1.13714199278089
2013,ARM,0.864490764141563
2014,ARM,0.0660727004667361
2015,ARM,0.495863085049133
2016,ARM,0.0
2017,ARM,0.0
2018,ARM,0.826353694969198
2019,ARM,1.94779106048196
2020,ARM,2.15167222262452
2021,ARM,6.78656847475307
2002,ASM,0.0
2003,ASM,0.0
2004,ASM,0.0
2005,ASM,0.0
2006,ASM,0.0
2007,ASM,0.0
2008,ASM,0.0
2009,ASM,0.0
2010,ASM,0.0
2011,ASM,0.0
2012,ASM,0.0
2013,ASM,0.0
2014,ASM,0.0
2015,ASM,0.0
2016,ASM,0.0
2017,ASM,0.0
2018,ASM,0.0
2019,ASM,0.0
2020,ASM,0.0
2021,ASM,0.0
1995,ATG,0.0
1996,ATG,0.0
1997,ATG,0.0
1998,ATG,0.0
1999,ATG,0.0
2000,ATG,0.0
2001,ATG,0.0
2002,ATG,0.0
2003,ATG,0.0
2004,ATG,0.0
2005,ATG,0.0
2006,ATG,0.0
2007,ATG,0.0
2008,ATG,0.0
2009,ATG,0.0
2010,ATG,0.0
2011,ATG,0.0
2012,ATG,0.0
2013,ATG,0.0
2014,ATG,0.0
2015,ATG,0.0
2016,ATG,0.0
2017,ATG,0.0
2018,ATG,0.0
2019,ATG,0.0
2020,ATG,0.0
2021,ATG,0.0
1995,AUS,0.862292199165592
1996,AUS,0.823661499846139
1997,AUS,0.769712287568883
1998,AUS,1.02491377893115
1999,AUS,0.901811387778998
2000,AUS,0.944083748919392
2001,AUS,1.14917513979889
2002,AUS,1.02724969758044
2003,AUS,0.756897930134733
2004,AUS,0.902925008259013
2005,AUS,1.90313900134245
2006,AUS,2.80480565031535
2007,AUS,4.25348976645078
2008,AUS,4.12640450969226
2009,AUS,2.37629219907027
2010,AUS,4.85534836205351
2011,AUS,5.02848003545977
2012,AUS,3.0451724905842
2013,AUS,3.55343966026024
2014,AUS,2.91578772030696
2015,AUS,1.85179092446636
2016,AUS,2.58843372469939
2017,AUS,3.18587488397102
2018,AUS,2.86105597221835
2019,AUS,3.31748180992128
2020,AUS,4.08804723201659
2021,AUS,10.4657754902913
1995,AUT,0.00267225571745197
1996,AUT,0.00171639829233186
1997,AUT,0.00156140358031105
1998,AUT,0.00873918852901666
1999,AUT,0.00731505585933767
2000,AUT,0.00670765421289272
2001,AUT,0.00479817426949512
2002,AUT,0.00393650657893622
2003,AUT,0.0018586610815492
2004,AUT,0.00195331095639147
2005,AUT,0.0134942473857179
2006,AUT,0.0140032235645494
2007,AUT,0.0335893715818356
2008,AUT,0.0395731955644204
2009,AUT,0.0109726740699417
2010,AUT,0.0450193099135956
2011,AUT,0.048877479628096
2012,AUT,0.0307473608248429
2013,AUT,0.0336027672129773
2014,AUT,0.0184179467949886
2015,AUT,0.00914672765296442
2016,AUT,0.0117424269050884
2017,AUT,0.0153952766102023
2018,AUT,0.0
2019,AUT,0.0
2020,AUT,0.0
2021,AUT,0.0
1995,AZE,0.0
1996,AZE,0.0
1997,AZE,0.0
1998,AZE,0.00157556189146862
1999,AZE,0.0
2000,AZE,0.0
2001,AZE,0.0
2002,AZE,0.000284928321572901
2003,AZE,9.80049213706967e-05
2004,AZE,0.00068230877073383
2005,AZE,0.0011478644770012
2006,AZE,0.00121163522688052
2007,AZE,0.00323360202586949
2008,AZE,0.0048382651286026
2009,AZE,0.0128771526846619
2010,AZE,0.0949855549611138
2011,AZE,0.11671954948609
2012,AZE,0.0878361305997428
2013,AZE,0.0579827506323953
2014,AZE,0.0506031083752946
2015,AZE,0.0731851344259292
2016,AZE,0.109557378108189
2017,AZE,0.309498967400041
2018,AZE,0.152776194655105
2019,AZE,0.174093480274439
2020,AZE,0.240132614538044
2021,AZE,0.349496289014784
1995,BDI,0.279591504328323
1996,BDI,0.90906014042584
1997,BDI,0.0
1998,BDI,0.0
1999,BDI,0.0
2000,BDI,0.0
