spec,theta,se,pval,rows,folds
baseline_z,-0.374446285213039,0.662395498638086,0.5718757759726116,1566,29
log_spread,0.010811421810630897,0.02095322668618865,0.6058691810649464,1566,29
no_extremes,0.10633345369033514,0.21478994959212996,0.6205592756811767,1548,29
