spec,theta,se,pval,p_wild,theta_per_sd,theta_bps_per_unit,theta_bps_per_sd,n_rows,folds_used,m_oos_r2_med,p_oos_r2_med
pca_gdp_pc1,2.766809590855464,2.507568931503266,0.2698607617034984,0.2966666666666667,0.20186192369941797,276.6809590855464,20.186192369941796,1566,29,0.7980989810883974,0.6656576201045299
pca_gdp_pc12,-5.27424498028354,8.254578617724144,0.5228568802182829,0.7166666666666667,-0.3848003278942124,-527.424498028354,-38.480032789421244,1566,29,0.7816316041334315,0.8055009613456298
pca_debtfiscal_pc1,-3.526717688804161,7.885941434274061,0.6547192470044347,0.8433333333333334,-0.2573035814823308,-352.6717688804161,-25.73035814823308,1566,29,0.8086975063532452,0.785631779998622
pca_debtfiscal_pc12,-3.5355931739730244,7.788220640103565,0.6498527622496149,0.8066666666666666,-0.2579511224319769,-353.55931739730244,-25.79511224319769,1566,29,0.8082839577885212,0.7854624787765532
pca_wgi_pc1,-8.086021952848492,9.204756869814744,0.37969347381611895,0.7166666666666667,-0.589942998561403,-808.6021952848492,-58.994299856140294,1566,29,0.7866443897889019,0.807653568677258
pca_all_pc1,0.8112017542683483,2.153942748325826,0.7064616001215966,0.71,0.05918395944779185,81.12017542683483,5.918395944779185,1566,29,0.7677341330562347,0.6426034175874648
pca_all_pc12,1.3459029605223762,2.0697527003566165,0.5155163115995152,0.48333333333333334,0.09819488902370997,134.59029605223762,9.819488902370997,1566,29,0.7800253205879237,0.6424109452371627
resid_vul,2.1739770370640428,2.3600335635466023,0.35696501403191805,0.3933333333333333,0.1586098256383532,217.3977037064043,15.860982563835321,1260,29,0.7608095243926991,-0.06270811646254937
