,pca_wgi_pc1
wgi_ge_lag1,0.45526348890950247
wgi_rl_lag1,0.4602314665803172
wgi_cc_lag1,0.45493087169202884
wgi_pv_lag1,0.41254324255548236
wgi_rq_lag1,0.4514068318475213
