,pca_debtfiscal_pc1,pca_debtfiscal_pc2,pca_debtfiscal_pc3
debt_to_gdp_lag1,0.2874582156220054,0.9322825597452495,-0.21958370400887578
deficit_to_gdp_lag1,0.6987468453624184,-0.047326065919320745,0.7138018559661138
current_account_balance_lag1,0.6550729885802661,-0.3586216282928918,-0.665033764069971
