"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","MNE.BCA_NGDPD.A","OBS_VALUE","Montenegro","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","-13.628","-11.505","-6.865","-7.176","-16.626","-31.654","-40.07","-49.471","-27.732","-20.31","-14.777","-15.28","-11.391","-12.41","-10.991","-16.235","-16.085","-17.001","-14.276","-26.052","-9.201","-12.931","-11.363","-17.433","-15.232"
"IMF.RES:WEO(6.0.0)","EST.BCA_NGDPD.A","OBS_VALUE","Estonia, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","1.178","-6.587","-4.04","-8.346","-10.904","-8.459","-4.267","-5.41","-7.105","-11.063","-12.867","-11.92","-8.677","-14.925","-14.859","-8.656","2.55","1.783","1.31","-1.879","-0.14","0.583","1.475","0.978","1.685","0.553","2.011","-2.526","-3.608","-3.894","-1.737","-1.131","-2.569"
"IMF.RES:WEO(6.0.0)","ERI.BCA_NGDPD.A","OBS_VALUE","Eritrea, The State of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","30.963","30.936","36.995","10.333","3.04","6.815","-26.641","-33.315","-21.079","-24.775","-0.07","-2.348","-0.869","0.432","-4.631","-7.897","-7.642","-11.319","-11.42","12.796","12.441","2.278","17.689","22.392","13.433","24.756","15.514","12.988","","","","","",""
"IMF.RES:WEO(6.0.0)","G200.BCA_NGDPD.A","OBS_VALUE","Emerging Market and Developing Economies","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","-1.073","-1.548","-0.137","1.281","0.71","1.239","1.95","2.454","3.94","4.737","3.726","3.415","1.331","1.265","1.352","1.194","0.611","0.535","-0.254","-0.333","-0.034","-0.096","0.054","0.495","0.954","1.624","0.677","0.907","0.266"
"IMF.RES:WEO(6.0.0)","GRD.BCA_NGDPD.A","OBS_VALUE","Grenada","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","-9.082","-10.617","-8.849","-11.464","-12.758","-10.329","-16.106","-14.372","-12.054","-18.381","-18.658","-15.761"
"IMF.RES:WEO(6.0.0)","IRQ.BCA_NGDPD.A","OBS_VALUE","Iraq","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","1.961","-1.834","-10.652","-8.309","13.549","3.447","-0.337","15.197","-7.058","2.759","11.4","6.44","6.858","6.757","-3.934","-4.009","1.402","10.462","6.152","-5.62","6.088","15.782","7.536","1.991","1.49"
"IMF.RES:WEO(6.0.0)","KAZ.BCA_NGDPD.A","OBS_VALUE","Kazakhstan, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","-51.66","-8.637","-7.663","-1.281","-3.57","-3.606","-5.534","-1.014","2.003","-6.272","-4.158","-0.884","0.777","0.628","-1.016","-4.547","0.965","-0.117","1.809","7.303","1.264","1.913","-1.288","-5.412","-5.073","-2.054","-0.984","-3.869","-6.462","-1.359","2.854","-3.608","-1.3","-3.565"
"IMF.RES:WEO(6.0.0)","G505.BCA_NGDPD.A","OBS_VALUE","Emerging and Developing Asia","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","0.556","2.688","2.051","1.849","1.599","2.277","2.708","2.548","3.415","5.52","6.345","5.649","3.342","2.438","0.828","0.938","0.71","1.487","1.83","1.268","0.907","-0.255","0.45","1.534","1.154","1.323","0.981","1.537","1.118"
"IMF.RES:WEO(6.0.0)","KOS.BCA_NGDPD.A","OBS_VALUE","Kosovo, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","-3.656","-7.425","-7.827","-8.667","-6.969","-8.021","-7.063","-6.023","-13.03","-10.351","-12.803","-13.42","-6.11","-3.53","-7.223","-8.763","-7.974","-5.484","-7.626","-5.673","-6.973","-9.415","-10.31","-7.569","-8.974","-8.651"
"IMF.RES:WEO(6.0.0)","LBN.BCA_NGDPD.A","OBS_VALUE","Lebanon","Current account balance (credit less debit), Percent of GDP","Annual","Units","-39.204","-57.463","-50.529","-6.188","-6.249","-9.764","-10.266","-32.419","-29.917","-19.38","-17.602","-19.689","-27.407","-29.126","-17.991","-11.275","-5.218","-6.444","-14.743","-19.884","-18.146","-13.834","-23.438","-25.511","-26.23","-17.108","-20.477","-22.881","-24.348","-21.752","-11.125","-23.034","-29.355","-23.903","-18.206",""
"IMF.RES:WEO(6.0.0)","KGZ.BCA_NGDPD.A","OBS_VALUE","Kyrgyz Republic","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","-5.747","-13.012","-7.617","-15.722","-23.308","-7.833","-22.33","-14.808","-4.316","-1.546","2.825","10.129","6.08","3.798","-2.472","-5.077","-13.768","-4.314","-6.615","-7.734","-15.451","-13.853","-17.0","-15.852","-11.625","-6.197","-12.054","-11.452","4.516","-7.984","-41.922","-44.921","-31.149","-8.525"
"IMF.RES:WEO(6.0.0)","LVA.BCA_NGDPD.A","OBS_VALUE","Latvia, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","11.663","15.77","4.582","-0.308","-4.824","-5.433","-9.309","-7.426","-4.822","-7.666","-6.687","-8.138","-12.777","-12.288","-21.921","-21.809","-12.877","7.872","1.733","-3.52","-3.871","-2.892","-1.466","-0.105","1.78","1.472","-0.394","-0.172","3.039","-4.067","-5.468","-3.901","-2.107","-2.519"
"IMF.RES:WEO(6.0.0)","LBR.BCA_NGDPD.A","OBS_VALUE","Liberia","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","-12.237","-9.667","-2.751","-14.017","-6.158","2.218","-7.355","-1.569","-30.167","-13.159","1.069","-2.478","-20.875","-8.813","-34.313","-28.498","-22.961","-22.278","-21.324","-19.634","-16.401","-17.766","-19.007","-26.278","-21.074","-18.215"
"IMF.RES:WEO(6.0.0)","LTU.BCA_NGDPD.A","OBS_VALUE","Lithuania, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","-9.113","-8.562","-9.661","-11.505","-10.839","-5.847","-4.679","-5.138","-6.8","-7.593","-7.387","-10.642","-15.329","-13.234","2.031","0.22","-3.703","-1.579","1.693","3.596","-2.506","-1.008","1.027","0.356","3.756","7.208","1.449","-6.099","1.099","2.473","1.966"
"IMF.RES:WEO(6.0.0)","MDA.BCA_NGDPD.A","OBS_VALUE","Moldova, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","-4.505","-16.283","-8.427","-5.87","-11.324","-14.257","-19.728","-5.793","-7.47","-1.808","-1.191","-6.57","-1.776","-7.556","-11.337","-15.248","-16.112","-8.923","-6.901","-10.121","-7.391","-5.163","-6.044","-5.951","-3.614","-5.837","-10.77","-9.421","-7.69","-12.408","-15.852","-11.31","-16.093","-14.48"
"IMF.RES:WEO(6.0.0)","MRT.BCA_NGDPD.A","OBS_VALUE","Mauritania, Islamic Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","-7.262","-4.062","-3.355","-5.149","-1.172","0.347","-0.156","-1.534","-0.866","-1.518","-5.486","-7.484","1.969","-8.548","-21.887","-29.863","3.681","-9.374","-9.328","-10.407","-6.336","-3.826","-18.802","-17.214","-22.231","-15.467","-11.019","-9.978","-13.057","-10.529","-6.809","-8.573","-14.89","-8.784","-5.766","-5.106"
"IMF.RES:WEO(6.0.0)","FSM.BCA_NGDPD.A","OBS_VALUE","Micronesia, Federated States of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","-9.164","-19.142","-31.124","-25.161","-21.055","-14.708","-17.534","-10.155","-6.052","-18.764","-10.231","-15.739","-10.847","-19.074","-21.404","-17.863","-19.447","-13.703","-10.05","6.168","4.516","7.268","10.449","21.438","16.098","-5.802","2.257","8.918","3.65","-0.355","-1.332"
"IMF.RES:WEO(6.0.0)","MNG.BCA_NGDPD.A","OBS_VALUE","Mongolia","Current account balance (credit less debit), Percent of GDP","Annual","Units","","-3.364","-2.413","4.033","4.059","1.779","-2.737","6.275","-6.711","-5.707","-6.145","-4.866","-7.53","-6.184","3.163","3.468","10.901","4.056","-12.284","-7.456","-12.324","-43.345","-43.825","-37.608","-15.821","-8.162","-6.273","-10.064","-16.709","-15.216","-5.067","-13.793","-13.434","0.597","-9.285","-11.053"
"IMF.RES:WEO(6.0.0)","MMR.BCA_NGDPD.A","OBS_VALUE","Myanmar","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","-21.497","-13.772","-8.264","-6.858","-1.59","1.192","2.27","5.245","7.323","2.749","-3.166","-3.08","4.766","-1.904","-1.835","-1.197","-4.186","-5.603","-4.684","-6.055","-1.303","-2.238","-0.452","-2.4","-3.351","-2.2","-1.189","-2.4"
"IMF.RES:WEO(6.0.0)","NRU.BCA_NGDPD.A","OBS_VALUE","Nauru, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","53.407","64.134","47.865","28.824","34.403","51.567","29.012","-19.63","4.194","12.41","7.595","4.6","2.526","3.788","1.858","1.261","5.246","2.286"
"IMF.RES:WEO(6.0.0)","MKD.BCA_NGDPD.A","OBS_VALUE","North Macedonia, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","-0.379","-4.075","-8.57","-5.83","-7.14","-7.57","-8.253","-2.522","-1.791","-6.694","-8.927","-3.881","-7.914","-2.436","-0.428","-6.925","-12.792","-6.776","-2.029","-2.509","-3.164","-1.646","-0.356","-1.752","-2.615","-0.78","0.208","-2.972","-2.93","-2.78","-6.051","0.381","-2.306","-2.16"
"IMF.RES:WEO(6.0.0)","SYR.BCA_NGDPD.A","OBS_VALUE","Syrian Arab Republic","Current account balance (credit less debit), Percent of GDP","Annual","Units","14.209","13.231","4.089","-1.756","-5.642","1.253","-0.233","2.483","0.802","1.805","5.217","3.958","4.922","-7.664","-3.099","-2.245","1.419","-0.234","-1.28","-2.937","-2.843","","","","","","","","","","","","","","",""
"IMF.RES:WEO(6.0.0)","SMR.BCA_NGDPD.A","OBS_VALUE","San Marino, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.391","-1.887","2.034","2.782","5.404","15.519","13.553","6.309","4.022"
"IMF.RES:WEO(6.0.0)","TLS.BCA_NGDPD.A","OBS_VALUE","Timor-Leste, Democratic Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","-4.141","-6.635","-9.0","-8.99","14.878","56.7","119.782","215.067","314.906","164.452","180.18","212.852","228.192","171.382","75.566","12.804","-33.191","-17.89","-12.288","21.875","23.811","46.813","12.718","-8.526","-26.293","-21.222"
"IMF.RES:WEO(6.0.0)","RUS.BCA_NGDPD.A","OBS_VALUE","Russian Federation","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","-1.676","1.325","3.044","2.215","2.448","-0.193","0.025","10.901","16.309","9.758","7.424","7.178","9.247","10.32","8.702","5.181","5.842","3.852","4.13","4.753","3.253","1.461","2.807","4.996","1.911","2.043","6.998","3.872","2.377","6.832","10.356","2.4","2.882","1.855"
"IMF.RES:WEO(6.0.0)","SRB.BCA_NGDPD.A","OBS_VALUE","Serbia, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","-1.708","1.853","-3.534","-6.463","-12.208","-7.825","-8.857","-15.421","-19.124","-5.665","-5.771","-7.792","-10.366","-5.506","-5.36","-3.316","-2.816","-5.026","-4.644","-6.571","-3.934","-4.106","-6.519","-2.345","-6.327","-5.763"
"IMF.RES:WEO(6.0.0)","SVK.BCA_NGDPD.A","OBS_VALUE","Slovak Republic","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","-4.684","4.138","2.651","-9.573","-8.757","-9.535","-4.461","-3.085","-7.993","-7.615","-4.925","-5.872","-7.317","-7.027","-4.798","-6.361","-3.445","-4.632","-4.882","0.928","2.935","1.739","-2.063","-1.454","-1.735","-1.633","-3.527","-0.466","-4.831","-9.618","-1.685","-2.776","-1.906"
"IMF.RES:WEO(6.0.0)","SVN.BCA_NGDPD.A","OBS_VALUE","Slovenia, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","5.638","1.695","3.35","-0.453","0.068","0.109","-0.664","-3.245","-2.784","0.04","0.885","-0.817","-2.712","-1.813","-1.846","-4.154","-5.345","-1.032","-0.697","-0.772","1.41","3.527","5.327","4.116","5.284","6.793","6.51","6.449","7.673","3.75","-1.119","4.47","4.448","3.63"
"IMF.RES:WEO(6.0.0)","LKA.BCA_NGDPD.A","OBS_VALUE","Sri Lanka","Current account balance (credit less debit), Percent of GDP","Annual","Units","-3.851","-5.786","-4.798","-4.941","-6.885","-6.511","-5.311","-2.863","-1.85","-3.508","-5.329","-0.932","-1.166","-0.329","-2.654","-2.097","-4.484","-3.66","-8.063","-0.432","-1.833","-6.814","-5.655","-3.3","-2.409","-2.212","-1.981","-2.447","-2.963","-2.071","-1.406","-3.707","-0.989","2.937","1.764",""
"IMF.RES:WEO(6.0.0)","SSD.BCA_NGDPD.A","OBS_VALUE","South Sudan, Republic of","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","18.02","-15.911","-3.89","-1.213","1.654","-0.254","-36.93","3.856","2.177","7.93","13.847","24.073","30.282","1.182","-11.434"
"IMF.RES:WEO(6.0.0)","SOM.BCA_NGDPD.A","OBS_VALUE","Somalia","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","-6.34","-2.297","-2.145","-5.521","-3.56","-3.178","-9.666","-4.678","-7.055","-8.592","-9.781","-9.231","-7.588"
"IMF.RES:WEO(6.0.0)","TWN.BCA_NGDPD.A","OBS_VALUE","Taiwan Province of China","Current account balance (credit less debit), Percent of GDP","Annual","Units","6.55","6.662","3.836","2.98","2.536","1.962","3.734","2.234","1.118","2.494","2.485","5.708","7.919","8.904","4.976","3.996","5.992","7.875","5.962","10.404","8.266","7.834","8.661","9.735","11.321","13.614","13.121","14.04","11.607","10.71","14.414","15.226","13.257","13.977","15.711","18.459"
"IMF.RES:WEO(6.0.0)","VCT.BCA_NGDPD.A","OBS_VALUE","St. Vincent and the Grenadines","Current account balance (credit less debit), Percent of GDP","Annual","Units","","","","","","","","","","","","","","","","","","","","","","","","","-25.197","-15.586","-13.086","-11.897","-10.304","-2.391","-15.909","-23.228","-20.583","-16.84","-18.858","-15.405"
