"DATASET","SERIES_CODE","OBS_MEASURE","COUNTRY","INDICATOR","FREQUENCY","SCALE","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025"
"IMF.RES:WEO(6.0.0)","KHM.NGDPD.A","OBS_VALUE","Cambodia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","0.898","2.007","2.435","2.422","2.76","3.43","3.509","3.462","3.132","3.522","3.707","4.154","4.507","5.054","5.879","7.058","8.342","10.117","12.162","12.49","13.796","16.017","17.829","19.806","22.04","24.217","26.591","29.394","33.181","36.682","34.898","36.797","39.838","43.304","47.328","49.799"
"IMF.RES:WEO(6.0.0)","CZE.NGDPD.A","OBS_VALUE","Czech Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","60.565","67.805","62.53","67.161","65.586","62.171","68.136","82.596","100.471","120.148","137.264","156.236","189.845","236.82","207.095","211.169","231.429","210.363","213.024","210.911","189.108","198.161","221.564","251.992","256.794","251.11","290.973","301.831","343.207","344.931","360.244"
"IMF.RES:WEO(6.0.0)","HRV.NGDPD.A","OBS_VALUE","Croatia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.568","7.358","16.669","20.657","22.104","22.101","23.971","23.593","22.145","23.067","26.739","35.239","41.82","45.035","49.593","59.303","68.469","62.255","59.032","62.889","57.585","59.854","59.628","51.012","52.64","56.166","61.694","61.472","57.919","69.055","71.26","84.416","92.506","98.951"
"IMF.RES:WEO(6.0.0)","DJI.NGDPD.A","OBS_VALUE","Djibouti","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","0.65","0.672","0.655","0.691","0.699","0.694","0.706","0.722","0.759","0.781","0.811","0.837","0.882","0.936","0.996","1.08","1.191","1.382","1.426","1.544","1.74","1.901","2.044","2.221","2.424","2.605","2.763","2.913","3.089","3.144","3.393","3.563","3.917","4.257","4.587"
"IMF.RES:WEO(6.0.0)","ERI.NGDPD.A","OBS_VALUE","Eritrea, The State of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.606","0.374","0.433","0.483","0.579","0.594","0.626","0.614","0.547","0.582","0.564","0.673","0.858","0.85","0.937","1.02","0.923","1.297","1.59","2.065","2.255","1.958","2.604","2.016","2.213","1.904","2.006","1.982","","","","","",""
"IMF.RES:WEO(6.0.0)","EST.NGDPD.A","OBS_VALUE","Estonia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","1.791","2.507","3.909","4.785","5.16","5.678","5.771","5.707","6.265","7.393","9.894","12.161","14.129","17.049","22.478","24.434","19.694","19.569","23.3","23.252","25.451","27.063","23.314","24.554","27.46","31.237","31.877","31.795","37.229","38.406","41.303","42.752","45.004"
"IMF.RES:WEO(6.0.0)","GEO.NGDPD.A","OBS_VALUE","Georgia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","0.85","1.961","3.148","3.608","3.73","2.898","3.144","3.311","3.493","4.103","5.269","6.59","7.979","10.458","13.158","11.069","12.425","15.475","16.894","17.516","17.966","15.223","15.445","16.472","17.905","17.645","16.013","18.849","24.985","30.778","33.775","35.353"
"IMF.RES:WEO(6.0.0)","MRT.NGDPD.A","OBS_VALUE","Mauritania, Islamic Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","1.793","2.055","2.164","1.847","1.945","2.092","2.132","2.072","2.027","1.986","1.78","1.746","1.777","2.051","2.362","2.936","4.009","4.328","5.138","4.725","5.637","6.782","6.721","7.331","6.615","6.182","6.414","6.826","7.472","7.894","8.464","9.126","9.564","10.649","10.697","11.47"
"IMF.RES:WEO(6.0.0)","IRQ.NGDPD.A","OBS_VALUE","Iraq","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","25.984","21.113","21.063","15.8","36.642","50.065","65.144","88.833","131.614","111.66","138.517","185.75","218.032","234.638","234.651","177.634","168.429","190.048","230.189","236.682","182.576","210.753","288.059","270.799","277.478","258.02"
"IMF.RES:WEO(6.0.0)","KAZ.NGDPD.A","OBS_VALUE","Kazakhstan, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","2.875","5.152","11.881","16.639","21.035","22.166","22.135","16.871","18.292","22.153","24.637","30.834","43.152","57.125","81.003","104.85","133.442","115.309","148.047","192.626","207.999","236.635","221.416","184.388","137.278","166.806","179.34","181.667","171.082","197.112","225.496","261.84","284.81","300.538"
"IMF.RES:WEO(6.0.0)","KWT.NGDPD.A","OBS_VALUE","Kuwait","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","18.239","10.791","19.871","23.955","24.859","27.186","31.491","30.35","25.941","30.126","37.714","34.906","38.129","47.869","59.439","80.799","101.548","114.608","147.391","105.992","115.401","154.02","174.066","174.179","162.695","114.606","109.399","120.688","138.655","140.855","111.048","148.455","183.977","163.716","158.568","153.101"
"IMF.RES:WEO(6.0.0)","KGZ.NGDPD.A","OBS_VALUE","Kyrgyz Republic","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.917","0.665","1.108","1.493","1.822","1.767","1.63","1.242","1.368","1.525","1.606","1.92","2.214","2.459","2.837","3.807","5.139","4.69","4.794","6.198","6.604","7.335","7.467","6.678","6.813","7.703","8.271","9.372","8.283","9.256","12.269","15.187","17.491","19.849"
"IMF.RES:WEO(6.0.0)","KOS.NGDPD.A","OBS_VALUE","Kosovo, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","2.217","2.509","2.73","3.39","3.71","3.828","4.019","4.868","5.202","5.03","5.348","6.34","6.167","6.735","7.076","6.296","6.681","7.178","7.882","7.9","7.728","9.418","9.375","10.47","11.151","11.274"
"IMF.RES:WEO(6.0.0)","LBR.NGDPD.A","OBS_VALUE","Liberia","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","0.863","0.904","0.943","0.714","0.897","0.944","1.109","1.344","1.676","1.765","1.966","2.34","2.675","3.044","3.09","3.092","3.256","3.321","3.264","3.08","3.037","3.509","3.974","4.39","4.818","5.166"
"IMF.RES:WEO(6.0.0)","LBN.NGDPD.A","OBS_VALUE","Lebanon","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","2.801","4.392","5.472","7.435","8.988","10.971","12.824","15.535","17.059","17.174","17.018","17.361","18.837","19.486","21.16","21.497","22.023","24.827","29.119","35.4","38.444","39.927","44.017","46.88","48.095","49.929","51.15","53.03","54.9","50.928","24.976","19.782","24.748","23.607","28.28",""
"IMF.RES:WEO(6.0.0)","LTU.NGDPD.A","OBS_VALUE","Lithuania, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","6.742","8.44","10.159","11.284","11.017","11.541","12.26","14.283","18.801","22.71","26.118","30.138","39.765","48.004","37.591","36.693","43.201","42.736","46.321","48.388","41.548","42.952","47.745","54.294","55.132","57.352","67.068","71.082","79.824","84.847","89.192"
"IMF.RES:WEO(6.0.0)","MHL.NGDPD.A","OBS_VALUE","Marshall Islands, Republic of the","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","0.11","0.112","0.113","0.115","0.123","0.132","0.131","0.133","0.138","0.143","0.15","0.147","0.151","0.161","0.172","0.181","0.186","0.186","0.184","0.202","0.214","0.22","0.233","0.242","0.259","0.253","0.259","0.28","0.297"
"IMF.RES:WEO(6.0.0)","FSM.NGDPD.A","OBS_VALUE","Micronesia, Federated States of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","0.222","0.221","0.207","0.219","0.22","0.233","0.24","0.24","0.243","0.236","0.247","0.25","0.253","0.261","0.277","0.292","0.308","0.324","0.314","0.316","0.312","0.327","0.361","0.394","0.395","0.373","0.392","0.416","0.444","0.471","0.5"
"IMF.RES:WEO(6.0.0)","MMR.NGDPD.A","OBS_VALUE","Myanmar","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","5.122","6.4","7.688","7.087","6.878","8.826","10.688","12.051","13.502","17.745","25.313","30.675","37.851","53.25","58.374","62.656","53.25","57.338","58.808","60.285","67.051","82.568","65.631","58.264","61.723","61.466","61.176","64.944"
"IMF.RES:WEO(6.0.0)","MDA.NGDPD.A","OBS_VALUE","Moldova, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","0.864","1.11","1.158","1.441","1.694","1.928","1.697","1.172","1.315","1.481","1.662","1.981","2.598","2.988","3.408","4.401","6.055","5.438","6.977","8.417","8.708","9.496","9.402","7.778","7.981","9.515","11.252","11.737","11.53","13.694","14.493","16.751","18.126","19.462"
"IMF.RES:WEO(6.0.0)","NRU.NGDPD.A","OBS_VALUE","Nauru, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","","","","","0.032","0.031","0.029","0.025","0.036","0.047","0.05","0.069","0.101","0.089","0.097","0.076","0.1","0.109","0.131","0.125","0.125","0.176","0.152","0.152","0.161","0.169"
"IMF.RES:WEO(6.0.0)","MKD.NGDPD.A","OBS_VALUE","North Macedonia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","2.443","2.687","3.561","4.687","4.642","3.928","3.764","3.867","3.774","3.709","3.991","4.946","5.684","6.257","6.86","8.337","9.912","9.4","9.415","10.499","9.751","10.824","11.378","10.067","10.686","11.336","12.694","12.609","12.385","14.008","13.957","15.772","16.679","17.885"
"IMF.RES:WEO(6.0.0)","NGA.NGDPD.A","OBS_VALUE","Nigeria","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","62.165","60.131","52.275","56.807","80.128","132.23","172.686","187.866","209.677","57.477","67.824","73.128","93.983","102.935","130.345","169.645","222.791","266.334","335.378","302.456","374.098","419.942","467.157","521.861","576.004","494.307","405.019","375.756","421.739","474.517","432.299","441.074","476.468","363.816","187.64","188.271"
"IMF.RES:WEO(6.0.0)","PLW.NGDPD.A","OBS_VALUE","Palau, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","0.15","0.159","0.163","0.155","0.166","0.186","0.191","0.196","0.199","0.184","0.184","0.195","0.215","0.226","0.245","0.283","0.303","0.29","0.288","0.282","0.259","0.236","0.248","0.275","0.306","0.333"
"IMF.RES:WEO(6.0.0)","SRB.NGDPD.A","OBS_VALUE","Serbia, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","10.431","13.65","17.997","23.627","26.718","28.143","33.421","45.121","54.117","46.949","43.067","51.274","45.111","50.456","49.114","41.297","42.225","45.973","52.788","53.865","55.874","65.83","66.798","81.343","89.074","92.549"
"IMF.RES:WEO(6.0.0)","TUV.NGDPD.A","OBS_VALUE","Tuvalu","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","0.015","0.014","0.017","0.02","0.023","0.023","0.024","0.029","0.032","0.028","0.033","0.04","0.039","0.039","0.039","0.037","0.041","0.045","0.048","0.054","0.052","0.062","0.061","0.063","0.065","0.065"
"IMF.RES:WEO(6.0.0)","SMR.NGDPD.A","OBS_VALUE","San Marino, Republic of","Gross domestic product (GDP), Current prices, US dollar","Annual","Billions","","","","","","","","","","","1.008","1.06","1.148","1.462","1.714","1.788","1.91","2.189","2.403","2.062","1.883","1.813","1.606","1.678","1.674","1.42","1.468","1.528","1.656","1.616","1.543","1.857","1.833","2.003","2.063","2.047"
