Date,Ticker,Open,High,Low,Close
05/31/1829,IGGRC10D,,,,33.3330000
06/30/1829,IGGRC10D,,,,34.4830000
07/31/1829,IGGRC10D,,,,40.0000000
08/31/1829,IGGRC10D,,,,35.7140000
09/30/1829,IGGRC10D,,,,27.3970000
10/31/1829,IGGRC10D,,,,25.3160000
11/30/1829,IGGRC10D,,,,17.0940000
12/31/1829,IGGRC10D,,,,16.8070000
01/31/1830,IGGRC10D,,,,13.7930000
02/28/1830,IGGRC10D,,,,11.9760000
03/31/1830,IGGRC10D,,,,13.0720000
04/30/1830,IGGRC10D,,,,9.7090000
05/31/1830,IGGRC10D,,,,14.4400000
06/30/1830,IGGRC10D,,,,13.6050000
07/31/1830,IGGRC10D,,,,13.5140000
08/31/1830,IGGRC10D,,,,14.7060000
09/30/1830,IGGRC10D,,,,15.6250000
10/31/1830,IGGRC10D,,,,17.5440000
11/30/1830,IGGRC10D,,,,20.8330000
12/31/1830,IGGRC10D,,,,20.8330000
01/31/1831,IGGRC10D,,,,18.5190000
02/28/1831,IGGRC10D,,,,20.8330000
03/31/1831,IGGRC10D,,,,23.2560000
04/30/1831,IGGRC10D,,,,25.0000000
05/31/1831,IGGRC10D,,,,21.7390000
06/30/1831,IGGRC10D,,,,26.3160000
07/31/1831,IGGRC10D,,,,25.0000000
08/31/1831,IGGRC10D,,,,27.7780000
09/30/1831,IGGRC10D,,,,27.7780000
10/31/1831,IGGRC10D,,,,18.8680000
11/30/1831,IGGRC10D,,,,22.7270000
12/31/1831,IGGRC10D,,,,21.7390000
01/31/1832,IGGRC10D,,,,25.0000000
02/29/1832,IGGRC10D,,,,20.8330000
03/31/1832,IGGRC10D,,,,17.8570000
04/30/1832,IGGRC10D,,,,16.9490000
05/31/1832,IGGRC10D,,,,16.3930000
06/30/1832,IGGRC10D,,,,16.6670000
07/31/1832,IGGRC10D,,,,17.2410000
08/31/1832,IGGRC10D,,,,20.0000000
09/30/1832,IGGRC10D,,,,18.3490000
10/31/1832,IGGRC10D,,,,17.8570000
11/30/1832,IGGRC10D,,,,19.6080000
12/31/1832,IGGRC10D,,,,17.5440000
01/31/1833,IGGRC10D,,,,17.2410000
02/28/1833,IGGRC10D,,,,14.7060000
03/31/1833,IGGRC10D,,,,13.5140000
04/30/1833,IGGRC10D,,,,14.0850000
05/31/1833,IGGRC10D,,,,12.1950000
06/30/1833,IGGRC10D,,,,12.8210000
07/31/1833,IGGRC10D,,,,12.8210000
08/31/1833,IGGRC10D,,,,12.5000000
09/30/1833,IGGRC10D,,,,12.8210000
10/31/1833,IGGRC10D,,,,12.8210000
11/30/1833,IGGRC10D,,,,12.8210000
12/31/1833,IGGRC10D,,,,12.8210000
01/31/1834,IGGRC10D,,,,12.8210000
02/28/1834,IGGRC10D,,,,12.8210000
03/31/1834,IGGRC10D,,,,12.8210000
04/30/1834,IGGRC10D,,,,12.8210000
05/31/1834,IGGRC10D,,,,12.8210000
06/30/1834,IGGRC10D,,,,12.8210000
07/31/1834,IGGRC10D,,,,12.8210000
08/31/1834,IGGRC10D,,,,12.8210000
09/30/1834,IGGRC10D,,,,12.8210000
10/31/1834,IGGRC10D,,,,12.8210000
11/30/1834,IGGRC10D,,,,12.8210000
12/31/1834,IGGRC10D,,,,12.8210000
01/31/1835,IGGRC10D,,,,12.8210000
02/28/1835,IGGRC10D,,,,12.8210000
03/31/1835,IGGRC10D,,,,12.8210000
04/30/1835,IGGRC10D,,,,12.8210000
05/31/1835,IGGRC10D,,,,12.8210000
06/30/1835,IGGRC10D,,,,12.8210000
07/31/1835,IGGRC10D,,,,12.8210000
08/31/1835,IGGRC10D,,,,12.8210000
09/30/1835,IGGRC10D,,,,12.8210000
10/31/1835,IGGRC10D,,,,12.8210000
