iso3c,year,p_hat_oos,m_hat_oos
ARG,2010,0.3954326021019507,5.433707826571201
ARG,2012,0.3714986185658593,5.278797198811979
ARG,2013,0.36982387291737556,6.705001077575934
ARG,2014,0.36861664469319005,6.084554026242244
ARG,2015,0.37046654579439303,6.45289049193263
ARG,2016,0.3658973337625286,6.531657444008265
ARG,2017,0.3686214637457043,5.581316033332846
ARG,2018,0.36338666738985276,4.399298959090663
ARG,2019,0.350843628452562,28.578938814236523
ARM,2013,0.4316308676246189,7.855486030759312
ARM,2014,0.4285031119426681,8.065766808886814
ARM,2015,0.43140308080809475,8.615155745835985
ARM,2016,0.44030863825447764,9.748663212800016
ARM,2017,0.4414779455067738,10.646041276045018
ARM,2018,0.43647710846675947,10.353457817735725
ARM,2019,0.42821229289727086,8.770221829822045
ARM,2020,0.4245383578322225,7.766694409787228
ARM,2021,0.431517262242333,8.758110168164743
ARM,2022,0.43062940199884253,8.208100921597138
ARM,2023,0.40940325230808344,8.133069912111205
ARM,2024,0.39613940959734156,6.555819445211959
AUS,1996,0.3367528634702839,1.0972508599272477
AUS,1997,0.31991107936382684,0.885221102907131
AUS,1998,0.3346384938457686,1.0504497232936159
AUS,1999,0.32632757532733636,0.9740019644300368
AUS,2000,0.34174314297764424,1.7621506732310217
AUS,2001,0.323332183363495,1.3744839091434733
AUS,2002,0.3515407141608677,3.4172249821137735
AUS,2003,0.3229724536266253,1.0878352745699926
AUS,2004,0.3115862882998894,1.0762243139391012
AUS,2005,0.3019734347388837,1.3683091567234598
AUS,2006,0.3024371847611894,1.3714038835202684
AUS,2007,0.30159520406977686,1.3193896819391737
AUS,2008,0.2957538345877867,1.1569954780905989
AUS,2009,0.2947331702870207,1.306925066643103
AUS,2010,0.2981298771391775,1.0048145175672647
AUS,2011,0.29610113146157585,1.2234351547108981
AUS,2012,0.2969609411130869,1.0083836459600415
AUS,2013,0.298162253741232,0.6234086704587581
AUS,2014,0.298682156912087,0.8558768880766001
AUS,2015,0.2999084633906895,0.837477112039907
AUS,2016,0.302125216673405,0.6442455045069537
AUS,2017,0.3031223071551381,0.2472879256481014
AUS,2018,0.30315607504142106,0.3402156088459272
AUS,2019,0.30246365247391227,0.15043886847742646
AUS,2020,0.30460358450806013,-1.2950426367549914
AUS,2021,0.3063508126834978,-0.6540981618011351
AUS,2022,0.3136314271961073,-0.7021426638868797
AUS,2023,0.3040632541273911,-0.27754252298554494
AUS,2024,0.3027718619662355,-0.33468130634555293
