iso3c,date,gain
AFG,1995,34.7835297515989
AFG,1996,34.7750744684362
AFG,1997,34.9888123324634
AFG,1998,35.2934065893063
AFG,1999,35.1775073602779
AFG,2000,35.065558913267
AFG,2001,35.1982686386118
AFG,2002,35.335122837524
AFG,2003,35.5420415419219
AFG,2004,35.4097697721394
AFG,2005,32.0981979446875
AFG,2006,30.5904862286104
AFG,2007,30.1639516686315
AFG,2008,29.8777643980503
AFG,2009,30.2536360442018
AFG,2010,30.5109470299072
AFG,2011,29.8264582001116
AFG,2012,30.8188271328623
AFG,2013,30.6525351705406
AFG,2014,31.5441618304546
AFG,2015,31.7959605052784
AFG,2016,31.9039263112629
AFG,2017,31.3465465695633
AFG,2018,31.1651788320777
AFG,2019,31.9105110793503
AFG,2020,31.7278135171411
AFG,2021,32.8335174290691
AFG,2022,32.633595958253
AFG,2023,32.7650170103342
AGO,1995,34.1674864859764
AGO,1996,34.1499848438528
AGO,1997,34.1309677164565
AGO,1998,34.1117159633211
AGO,1999,34.0729432723481
AGO,2000,34.0301878076159
AGO,2001,34.12943961255
AGO,2002,34.4363857557565
AGO,2003,33.954097853261
AGO,2004,33.9948464417927
AGO,2005,33.4472422531557
AGO,2006,31.9296065913253
AGO,2007,32.1686076387125
AGO,2008,32.2742500957858
AGO,2009,32.0209596464402
AGO,2010,31.3497151958895
AGO,2011,31.3333514942747
AGO,2012,32.2389967382924
AGO,2013,32.5042571391982
AGO,2014,31.9350037928964
AGO,2015,31.7904614095932
AGO,2016,32.8971038931391
AGO,2017,33.2131489346604
AGO,2018,34.1028742246527
AGO,2019,34.7745625046723
AGO,2020,35.2921439069986
AGO,2021,36.595834087873
AGO,2022,36.8942349492908
AGO,2023,37.0433573133306
ALB,1995,41.3964943858149
ALB,1996,41.3792138566231
ALB,1997,41.3334510623732
ALB,1998,41.1001591916426
ALB,1999,41.0265852008418
ALB,2000,41.3814304837085
ALB,2001,41.3959059370893
ALB,2002,41.602467100569
ALB,2003,41.6641451368953
ALB,2004,42.505107575352
ALB,2005,42.1525187783791
ALB,2006,41.414330914702
ALB,2007,41.881827322012
ALB,2008,42.7019343019108
ALB,2009,43.7268703450009
ALB,2010,44.2860466574733
ALB,2011,43.9505143179702
ALB,2012,44.466530477996
ALB,2013,44.9630997932652
ALB,2014,46.4352348405401
ALB,2015,47.2259159455329
ALB,2016,47.1139450148953
ALB,2017,47.064078899692
ALB,2018,47.3408698097704
ALB,2019,47.4120950878087
ALB,2020,47.738608913576
ALB,2021,48.4433197837689
ALB,2022,49.3486818450146
ALB,2023,49.7474507369219
AND,1995,
AND,1996,
AND,1997,
AND,1998,
AND,1999,
AND,2000,
AND,2001,
AND,2002,
AND,2003,
AND,2004,
AND,2005,
AND,2006,
AND,2007,
AND,2008,
AND,2009,
AND,2010,
AND,2011,
AND,2012,
AND,2013,
AND,2014,
AND,2015,
AND,2016,
AND,2017,
AND,2018,
AND,2019,
AND,2020,
AND,2021,
AND,2022,
AND,2023,
ARE,1995,46.3903123469796
ARE,1996,46.4313360991914
ARE,1997,46.622975722403
ARE,1998,46.8793648830242
ARE,1999,47.1772414665353
ARE,2000,47.5623748938157
ARE,2001,49.709157961321
ARE,2002,51.7965672585626
ARE,2003,50.7712569617467
ARE,2004,51.621155118212
ARE,2005,52.1025843389666
ARE,2006,53.7952247585273
ARE,2007,54.518784097278
ARE,2008,54.8708712540896
ARE,2009,54.0769075606011
ARE,2010,55.6029139909395
ARE,2011,56.4806769031931
ARE,2012,56.9908679857859
ARE,2013,58.4476555254733
ARE,2014,59.3465670176454
ARE,2015,58.891463536747
ARE,2016,58.5738505301344
ARE,2017,58.7808540675958
ARE,2018,58.9208436024239
ARE,2019,58.9297615001828
ARE,2020,59.604031756343
ARE,2021,60.151056099529
ARE,2022,60.1811702057187
ARE,2023,59.9463710254847
ARG,1995,46.7558284332846
ARG,1996,46.8832668345452
ARG,1997,46.5850474329618
ARG,1998,46.3759249220587
ARG,1999,46.5721055387725
ARG,2000,46.8262606510598
ARG,2001,46.0682573317598
ARG,2002,45.7020047327847
ARG,2003,45.6419448018273
ARG,2004,45.9290713319358
ARG,2005,46.6820107106707
ARG,2006,45.7213378221992
ARG,2007,46.1411147242119
ARG,2008,45.8318384865556
ARG,2009,45.8632535274019
ARG,2010,46.2990033990143
ARG,2011,46.1037664520353
ARG,2012,45.8440545973499
ARG,2013,45.5120610080099
ARG,2014,45.0769981298042
ARG,2015,44.8996914763672
ARG,2016,46.5120910519626
ARG,2017,46.441575292977
ARG,2018,48.315080343066
ARG,2019,48.7207930681477
ARG,2020,48.9686712280041
ARG,2021,47.8940618425854
ARG,2022,47.8333982616558
ARG,2023,48.0904031595469
ARM,1995,47.0218794584889
ARM,1996,47.3401024576989
ARM,1997,46.2071816203653
ARM,1998,46.0939538942647
ARM,1999,46.7803006096645
ARM,2000,47.0554712062913
ARM,2001,47.1066047157615
ARM,2002,48.6506788548393
ARM,2003,49.1745843075388
ARM,2004,48.7447683900247
ARM,2005,49.58254821223
ARM,2006,48.9769739821181
ARM,2007,48.6922295657591
ARM,2008,50.014055276822
ARM,2009,49.9902796694409
ARM,2010,50.220565320591
ARM,2011,50.3463223695891
ARM,2012,50.7011521110966
ARM,2013,51.7067198309547
ARM,2014,52.8751543790892
ARM,2015,53.0710071724417
ARM,2016,53.4300730601181
ARM,2017,53.5256180397875
ARM,2018,54.1303685004606
ARM,2019,55.238560107742
ARM,2020,55.6897616591797
ARM,2021,56.2441555269216
ARM,2022,56.4134717918025
ARM,2023,56.7140115960419
ATG,1995,47.672721260294
ATG,1996,47.7123019311359
ATG,1997,47.8211387645193
ATG,1998,47.8848139707039
ATG,1999,47.8962677228571
ATG,2000,48.007815524236
ATG,2001,48.0857898110647
ATG,2002,48.301372782335
ATG,2003,48.4732231779668
ATG,2004,48.5155485950335
ATG,2005,49.2343215358363
ATG,2006,49.3584260637497
ATG,2007,49.6346960313194
ATG,2008,50.2416744126126
ATG,2009,50.5743855879317
ATG,2010,50.8211531944287
ATG,2011,50.2781634261362
ATG,2012,50.8228060662004
ATG,2013,50.7661051651095
ATG,2014,48.6955512021793
ATG,2015,48.4295486245509
ATG,2016,48.3684418922379
ATG,2017,46.3643714552942
ATG,2018,46.7231768988081
ATG,2019,46.9746535966893
ATG,2020,46.8252727376001
ATG,2021,46.8179086462589
ATG,2022,47.1852097488373
ATG,2023,47.2784593284228
AUS,1995,63.3849814772652
AUS,1996,63.544201076693
AUS,1997,63.5313743530563
AUS,1998,63.668802493162
AUS,1999,63.960530044146
AUS,2000,64.3175315229389
AUS,2001,64.5935737364848
AUS,2002,64.6647373227848
AUS,2003,65.3484855153623
AUS,2004,66.039560209418
AUS,2005,66.2740989827372
AUS,2006,68.3974755596927
AUS,2007,68.8560417134984
AUS,2008,69.2561753029115
AUS,2009,68.9134316532415
AUS,2010,69.2790637564839
AUS,2011,69.3554899201878
AUS,2012,69.292570436299
AUS,2013,69.2487818133458
AUS,2014,69.3498753499113
AUS,2015,69.3935869718605
AUS,2016,68.9549850029503
AUS,2017,68.3621331902277
AUS,2018,69.1711576036906
AUS,2019,69.263731588679
AUS,2020,68.3131040775975
AUS,2021,69.2119739947733
AUS,2022,69.1465549910627
AUS,2023,69.1970417705069
AUT,1995,64.6554767947817
AUT,1996,64.932327192483
AUT,1997,65.3931295260002
AUT,1998,65.7419910958517
AUT,1999,66.0188997072016
AUT,2000,66.220219128539
AUT,2001,66.6447351929385
AUT,2002,66.9390832124991
AUT,2003,67.2275013429645
AUT,2004,67.6739875038196
AUT,2005,67.6909401292135
AUT,2006,69.1132541062363
AUT,2007,69.8072535980028
AUT,2008,69.1946690698895
AUT,2009,68.2978498909523
AUT,2010,68.4361207590759
AUT,2011,68.0736091530137
AUT,2012,68.1252630035586
AUT,2013,69.1420909725543
AUT,2014,69.4587848810567
AUT,2015,69.7262562761327
AUT,2016,69.2148057168889
AUT,2017,69.2590850010899
AUT,2018,69.4754230142867
AUT,2019,69.1237909346913
AUT,2020,69.1193401753625
AUT,2021,68.5165215286399
AUT,2022,68.213840941009
AUT,2023,67.9433280945423
AZE,1995,40.7582298320192
AZE,1996,40.5960012501652
AZE,1997,41.2622367424276
AZE,1998,41.6568604579408
AZE,1999,41.5788194924682
AZE,2000,41.5938760973816
AZE,2001,42.431910208837
AZE,2002,44.6157395084188
AZE,2003,45.0613591985982
AZE,2004,45.1380865584208
