iso3c,mean_gain,sd_gain,n_years
ARG,46.40237204074432,1.3312037000184456,9
ARM,54.45808196950359,1.6811402337148917,11
AUS,67.3203810838265,2.3531221916527882,29
AUT,67.90964061873365,1.5097528280309946,29
BEL,61.352936502765104,1.7989086321245062,29
BGD,37.4725415723541,4.162013920347564,21
BGR,51.738962161145786,1.482630520913307,29
BRA,48.74519033909252,2.2631104881778,17
BWA,47.41067615282576,1.5166503824422324,20
CAN,68.50805425623894,1.5672389333855385,29
