iso3c,within_sd
ARG,1.3312037000184456
ARM,1.6811402337148917
AUS,2.3531221916527882
AUT,1.5097528280309946
BEL,1.7989086321245062
BGD,4.162013920347564
BGR,1.482630520913307
BRA,2.2631104881778
BWA,1.5166503824422324
CAN,1.5672389333855385
