,coef,se,pval
const,-0.06345004892572581,0.4403410721108229,0.8854270630335255
gain_t,-0.05135920939123836,0.06822527310420816,0.4515769445159147
gain_lag1,-0.014873221825324075,0.13762622438417946,0.9139404202909098
gain_lag2,0.06675854483702391,0.08987345627710995,0.45759912705333006
