spec,theta,se,pval
pooled_lag1,0.4650110684887605,0.29437564383715037,0.11418658843783448
lag1_event_control,0.2842019258500209,0.14224356338989652,0.04571720416784348
lag1_no_bgr,-0.018011931524993325,0.010954055271601185,0.1001108861650819
fe_dml,-0.43900733250253493,0.4419756320303412,0.3205715628398762
elasticnet_rf,0.256535,,
