iso3c,gain
ARG,0.7552980278748185
ARM,0.9724641588447439
AUS,0.972609190970424
AUT,0.9467942069506987
BEL,0.9748581891646154
BGD,0.7739186447975863
BGR,0.9467905636690701
BRA,0.8263370367198997
BWA,0.892558697616772
CAN,0.937892517234898
CHE,0.9694101861246113
CHL,-0.8168929631958048
CHN,0.664464948085092
CIV,0.9073634636600859
COL,0.9013896567222354
CYP,0.6617017189431192
CZE,0.983219832087831
DEU,0.9643266722348639
DNK,0.9654503350831483
EGY,0.5742192201893742
ESP,0.9222489645516048
FIN,0.9540872273083069
FRA,0.9681242495921214
GBR,0.937176543119091
GRC,0.9367572304998069
HRV,0.8499475326278614
HUN,0.8246205089639771
IDN,0.5890306959718906
IND,0.7627484983612167
IRL,0.951733096220884
ISL,0.7120106128910437
ISR,0.552571866943903
ITA,0.9115596545364685
JPN,0.9506505568817457
KEN,0.9483731020535207
KOR,0.9801203386563697
LKA,0.8033710638681122
LTU,0.9873653835539118
LUX,0.8898873448854048
LVA,0.976511436133602
MEX,0.843960588651833
MLT,0.8716765999917817
MYS,0.9595314675476462
NAM,0.8854227700949444
NGA,0.7820495753366352
NLD,0.9421059961956364
NOR,0.9666207918449535
NZL,0.9417373079997086
PAK,0.8057803118584148
PER,0.8238608245683964
PHL,0.9638451570425244
POL,0.9755754429539687
PRT,0.9902270973709782
QAT,0.8462720907232315
ROU,0.8531106559431793
RUS,0.9079730757343462
SGP,0.9761289290317763
SRB,0.7064621721886977
SVK,0.9546876233886374
SVN,0.9227415792451401
SWE,0.9631601985804156
THA,0.9779879010318514
TUR,0.9029896965792091
UGA,0.8835999000808225
VNM,0.9442683165567703
ZAF,0.7831002944129454
ZMB,0.7920747789381788
