,coef,se,pval
const,0.518784412323274,0.42876023771464167,0.22629274286853085
gain_t,-0.025133385289787917,0.09110157266635373,0.7826378461238694
gain_lag1,0.017056824734128673,0.09513287061341515,0.8577062649857802
