lead_k,theta,se,tstat,pval
0,0.34682575968960616,0.2812348209763999,1.2332248136467794,0.2174919000940182
1,0.37548554967258596,0.26426121167154176,1.4208878680965422,0.1553493604689083
2,0.3743876839446523,0.26844240928770957,1.394666680790342,0.16311637690748737
3,0.3871551077487378,0.2849786858848831,1.3585405748734805,0.17429221683149765
