Country,Total_Observations,overall_completeness,sovereign_yield,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,debt_to_gdp,deficit_to_gdp,current_account_balance,NEER,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,Rating_Fitch,Outlook_Fitch,Rating_S&P,Outlook_S&P,Rating_DBRS,Outlook_DBRS,Rating_Moody's,Outlook_Moody's
MYS,984,70.0,1.0,1.0,40.2,38.4,12.2,12.2,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,33.1,35.8,11.2,11.5,100.0,100.0,7.3,7.3
LVA,888,69.9,28.4,28.4,17.6,23.6,16.2,24.3,16.2,16.2,18.9,25.7,33.8,33.8,33.8,33.8,33.8,33.8,25.5,31.5,23.0,23.0,76.8,76.8,24.2,24.2
CYP,926,69.5,33.9,33.9,36.9,24.0,13.0,19.4,13.0,13.0,18.1,24.6,35.0,35.0,35.0,35.0,35.0,35.0,37.8,37.8,18.3,18.3,67.4,67.4,22.2,22.2
LTU,864,69.5,28.9,28.9,18.1,23.6,20.8,25.0,20.8,20.8,19.4,26.4,33.3,33.3,33.3,33.3,33.3,33.3,23.6,29.6,24.2,24.2,76.4,76.4,23.1,23.1
RUS,940,69.4,27.1,27.1,26.2,22.3,15.3,21.7,15.3,15.3,17.9,24.3,31.9,31.9,31.9,31.9,31.9,31.9,21.4,23.2,21.4,21.4,100.0,100.0,21.4,21.4
AUT,984,69.2,1.0,1.0,13.4,28.0,12.2,12.2,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,23.4,38.2,11.5,11.5,64.4,64.4,75.0,75.0
MLT,864,68.9,34.0,34.0,46.5,32.6,20.8,20.8,20.8,20.8,19.4,26.4,33.3,33.3,33.3,33.3,33.3,33.3,22.9,29.6,19.7,19.7,70.1,70.1,19.7,19.7
SVN,924,68.8,41.8,41.8,14.3,24.0,15.6,19.5,15.6,15.6,18.2,24.7,35.1,35.1,35.1,35.1,35.1,35.1,22.9,34.2,22.9,22.9,78.8,78.8,22.9,22.9
BGR,890,68.8,20.0,20.0,23.6,23.6,13.5,24.3,13.5,13.5,18.9,25.6,33.7,33.7,33.7,33.7,33.7,33.7,24.9,31.5,26.5,26.5,98.2,98.2,22.5,22.5
CZE,924,68.2,34.2,34.2,17.5,26.0,19.5,19.5,19.5,19.5,18.2,24.7,35.1,35.1,35.1,35.1,35.1,35.1,21.0,34.2,17.5,17.5,98.1,98.1,17.1,17.1
COL,984,67.9,58.1,58.1,13.4,40.9,12.2,26.8,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,23.4,38.2,20.5,20.5,53.5,53.5,20.9,20.9
CHN,984,67.5,54.7,54.7,23.2,16.8,12.2,24.4,12.2,29.3,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,31.5,38.2,17.3,17.3,72.4,72.4,10.2,10.2
ISL,988,67.3,47.6,47.6,13.4,26.1,12.1,12.1,12.1,12.1,20.6,29.1,38.9,38.9,38.9,38.9,38.9,38.9,36.6,38.1,11.0,11.4,100.0,100.0,11.3,11.3
ARG,984,66.9,82.9,82.9,79.7,20.1,12.2,14.6,12.2,12.2,17.1,25.6,36.6,36.6,36.6,36.6,36.6,36.6,26.4,34.6,17.3,17.3,52.8,52.8,7.1,7.1
CHL,984,66.9,83.9,83.9,13.4,31.1,12.2,14.6,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,24.0,38.2,18.5,18.5,52.0,52.0,22.2,22.2
ISR,864,66.6,62.5,62.5,16.0,24.3,13.9,27.8,13.9,13.9,19.4,26.4,33.3,33.3,33.3,33.3,33.3,33.3,22.0,29.6,12.2,13.1,100.0,100.0,22.0,22.0
HKG,806,66.2,26.4,26.4,41.9,1.5,14.9,36.0,14.9,14.9,21.1,100.0,34.5,34.5,34.5,34.5,34.5,34.5,22.0,31.0,13.0,14.0,100.0,100.0,13.2,13.2
PHL,984,65.4,32.5,32.5,65.2,3.7,12.2,19.5,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,35.4,38.2,20.7,20.7,100.0,100.0,20.7,20.7
IDN,958,65.2,59.3,59.3,17.5,37.4,12.5,34.9,12.5,12.5,17.5,26.3,36.7,36.7,36.7,36.7,36.7,36.7,27.3,28.6,15.7,15.7,100.0,100.0,19.2,19.2
USA,852,65.1,1.2,100.0,15.5,1.4,14.1,29.6,14.1,14.1,19.7,26.8,33.8,33.8,33.8,33.8,33.8,33.8,20.5,22.3,58.5,58.5,59.6,59.6,59.2,59.2
ROU,972,63.8,44.9,44.9,40.1,27.8,12.3,35.8,12.3,12.3,19.8,28.4,38.3,38.3,38.3,38.3,38.3,38.3,26.3,32.5,26.3,26.3,98.8,98.8,26.3,26.3
SGP,552,62.8,40.9,40.9,58.2,1.1,21.7,21.7,21.7,21.7,29.3,37.0,45.7,45.7,45.7,45.7,45.7,45.7,40.9,44.9,20.3,20.5,78.3,78.3,21.0,21.0
EGY,878,62.7,64.2,64.2,60.8,42.7,13.7,24.6,13.7,13.7,19.1,26.0,34.2,34.2,34.2,34.2,34.2,34.2,24.0,30.5,23.2,23.2,100.0,100.0,22.9,22.9
HRV,962,62.2,56.5,56.5,51.1,26.8,15.0,29.9,15.0,15.0,18.7,27.4,37.4,37.4,37.4,37.4,37.4,37.4,27.4,36.6,27.4,27.4,98.1,98.1,27.4,27.4
VNM,888,60.8,56.1,56.1,39.9,32.4,13.5,29.7,13.5,13.5,18.9,25.7,33.8,33.8,33.8,33.8,33.8,33.8,36.3,36.3,59.2,59.2,100.0,100.0,23.3,23.3
QAT,972,56.2,74.1,74.1,64.8,59.9,12.3,12.3,12.3,12.3,19.8,28.4,38.3,38.3,38.3,38.3,38.3,38.3,73.3,73.3,26.1,26.1,100.0,100.0,25.9,25.9
TWN,552,55.4,33.5,33.5,100.0,1.1,21.7,37.0,21.7,21.7,29.3,100.0,45.7,45.7,45.7,45.7,45.7,45.7,47.5,47.5,20.1,20.5,100.0,100.0,30.8,30.8
NGA,986,54.0,57.0,57.0,53.5,65.1,12.2,12.2,12.2,12.2,20.7,29.2,38.9,38.9,38.9,38.9,38.9,38.9,51.1,51.1,51.3,51.3,100.0,100.0,67.7,67.7
KEN,984,52.8,58.1,58.1,64.0,48.2,12.2,31.7,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,55.9,55.9,52.8,52.8,100.0,100.0,67.9,67.9
AUS,984,52.1,1.0,1.0,14.0,1.8,12.2,12.2,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NZL,984,51.7,1.0,1.0,13.4,10.7,12.2,12.2,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
BWA,756,51.5,38.6,38.6,100.0,10.3,0.0,12.7,0.0,0.0,6.3,14.3,23.8,23.8,23.8,23.8,23.8,23.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
NAM,864,51.4,7.6,7.6,100.0,31.2,0.0,8.3,0.0,0.0,9.7,19.4,30.6,30.6,30.6,30.6,30.6,30.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
