Country,Total_Observations,overall_completeness,sovereign_yield,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,debt_to_gdp,deficit_to_gdp,current_account_balance,NEER,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,Rating_Fitch,Outlook_Fitch,Rating_S&P,Outlook_S&P,Rating_DBRS,Outlook_DBRS,Rating_Moody's,Outlook_Moody's,Macroeconomic_completeness,Financial_completeness,Governance_completeness,External_completeness
AUT,984,69.2,1.0,1.0,13.4,28.0,12.2,12.2,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,23.4,38.2,11.5,11.5,64.4,64.4,75.0,75.0,82.13333333333334,95.26666666666667,61.0,79.26666666666667
MLT,864,68.9,34.0,34.0,46.5,32.6,20.8,20.8,20.8,20.8,19.4,26.4,33.3,33.3,33.3,33.3,33.3,33.3,22.9,29.6,19.7,19.7,70.1,70.1,19.7,19.7,66.7,70.4,66.69999999999999,77.8
SVN,924,68.8,41.8,41.8,14.3,24.0,15.6,19.5,15.6,15.6,18.2,24.7,35.1,35.1,35.1,35.1,35.1,35.1,22.9,34.2,22.9,22.9,78.8,78.8,22.9,22.9,80.73333333333333,66.93333333333334,64.9,80.5
BGR,890,68.8,20.0,20.0,23.6,23.6,13.5,24.3,13.5,13.5,18.9,25.6,33.7,33.7,33.7,33.7,33.7,33.7,24.9,31.5,26.5,26.5,98.2,98.2,22.5,22.5,76.16666666666667,82.16666666666667,66.30000000000001,80.66666666666667
CZE,924,68.2,34.2,34.2,17.5,26.0,19.5,19.5,19.5,19.5,18.2,24.7,35.1,35.1,35.1,35.1,35.1,35.1,21.0,34.2,17.5,17.5,98.1,98.1,17.1,17.1,79.0,70.7,64.9,79.2
COL,984,67.9,58.1,58.1,13.4,40.9,12.2,26.8,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,23.4,38.2,20.5,20.5,53.5,53.5,20.9,20.9,72.96666666666667,57.199999999999996,61.0,79.26666666666667
CHN,984,67.5,54.7,54.7,23.2,16.8,12.2,24.4,12.2,29.3,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,31.5,38.2,17.3,17.3,72.4,72.4,10.2,10.2,78.53333333333333,59.46666666666666,61.0,73.56666666666666
ISL,988,67.3,47.6,47.6,13.4,26.1,12.1,12.1,12.1,12.1,20.6,29.1,38.9,38.9,38.9,38.9,38.9,38.9,36.6,38.1,11.0,11.4,100.0,100.0,11.3,11.3,82.8,64.23333333333333,61.1,79.4
ARG,984,66.9,82.9,82.9,79.7,20.1,12.2,14.6,12.2,12.2,17.1,25.6,36.6,36.6,36.6,36.6,36.6,36.6,26.4,34.6,17.3,17.3,52.8,52.8,7.1,7.1,61.86666666666667,40.666666666666664,63.4,81.7
CHL,984,66.9,83.9,83.9,13.4,31.1,12.2,14.6,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,24.0,38.2,18.5,18.5,52.0,52.0,22.2,22.2,80.3,40.0,61.0,79.26666666666667
ISR,864,66.6,62.5,62.5,16.0,24.3,13.9,27.8,13.9,13.9,19.4,26.4,33.3,33.3,33.3,33.3,33.3,33.3,22.0,29.6,12.2,13.1,100.0,100.0,22.0,22.0,77.3,53.699999999999996,66.69999999999999,80.1
HKG,806,66.2,26.4,26.4,41.9,1.5,14.9,36.0,14.9,14.9,21.1,100.0,34.5,34.5,34.5,34.5,34.5,34.5,22.0,31.0,13.0,14.0,100.0,100.0,13.2,13.2,73.53333333333333,77.43333333333334,65.5,54.666666666666664
PHL,984,65.4,32.5,32.5,65.2,3.7,12.2,19.5,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,35.4,38.2,20.7,20.7,100.0,100.0,20.7,20.7,70.53333333333333,74.26666666666667,61.0,79.26666666666667
IDN,958,65.2,59.3,59.3,17.5,37.4,12.5,34.9,12.5,12.5,17.5,26.3,36.7,36.7,36.7,36.7,36.7,36.7,27.3,28.6,15.7,15.7,100.0,100.0,19.2,19.2,70.06666666666666,56.300000000000004,63.300000000000004,81.23333333333333
USA,852,65.1,1.2,100.0,15.5,1.4,14.1,29.6,14.1,14.1,19.7,26.8,33.8,33.8,33.8,33.8,33.8,33.8,20.5,22.3,58.5,58.5,59.6,59.6,59.2,59.2,84.5,61.56666666666667,66.19999999999999,79.8
ROU,972,63.8,44.9,44.9,40.1,27.8,12.3,35.8,12.3,12.3,19.8,28.4,38.3,38.3,38.3,38.3,38.3,38.3,26.3,32.5,26.3,26.3,98.8,98.8,26.3,26.3,65.43333333333334,65.96666666666667,61.699999999999996,79.83333333333333
SGP,552,62.8,40.9,40.9,58.2,1.1,21.7,21.7,21.7,21.7,29.3,37.0,45.7,45.7,45.7,45.7,45.7,45.7,40.9,44.9,20.3,20.5,78.3,78.3,21.0,21.0,73.0,65.5,54.300000000000004,70.66666666666667
EGY,878,62.7,64.2,64.2,60.8,42.7,13.7,24.6,13.7,13.7,19.1,26.0,34.2,34.2,34.2,34.2,34.2,34.2,24.0,30.5,23.2,23.2,100.0,100.0,22.9,22.9,57.300000000000004,52.63333333333333,65.80000000000001,80.4
HRV,962,62.2,56.5,56.5,51.1,26.8,15.0,29.9,15.0,15.0,18.7,27.4,37.4,37.4,37.4,37.4,37.4,37.4,27.4,36.6,27.4,27.4,98.1,98.1,27.4,27.4,64.06666666666666,57.333333333333336,62.6,79.63333333333333
VNM,888,60.8,56.1,56.1,39.9,32.4,13.5,29.7,13.5,13.5,18.9,25.7,33.8,33.8,33.8,33.8,33.8,33.8,36.3,36.3,59.2,59.2,100.0,100.0,23.3,23.3,66.0,58.1,66.19999999999999,80.63333333333334
QAT,972,56.2,74.1,74.1,64.8,59.9,12.3,12.3,12.3,12.3,19.8,28.4,38.3,38.3,38.3,38.3,38.3,38.3,73.3,73.3,26.1,26.1,100.0,100.0,25.9,25.9,54.333333333333336,46.5,61.699999999999996,79.83333333333333
TWN,552,55.4,33.5,33.5,100.0,1.1,21.7,37.0,21.7,21.7,29.3,100.0,45.7,45.7,45.7,45.7,45.7,45.7,47.5,47.5,20.1,20.5,100.0,100.0,30.8,30.8,53.96666666666667,70.43333333333334,54.300000000000004,49.666666666666664
NGA,986,54.0,57.0,57.0,53.5,65.1,12.2,12.2,12.2,12.2,20.7,29.2,38.9,38.9,38.9,38.9,38.9,38.9,51.1,51.1,51.3,51.3,100.0,100.0,67.7,67.7,56.400000000000006,57.93333333333333,61.1,79.3
KEN,984,52.8,58.1,58.1,64.0,48.2,12.2,31.7,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,55.9,55.9,52.8,52.8,100.0,100.0,67.9,67.9,52.03333333333333,57.199999999999996,61.0,79.26666666666667
AUS,984,52.1,1.0,1.0,14.0,1.8,12.2,12.2,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,90.66666666666667,95.26666666666667,61.0,79.26666666666667
NZL,984,51.7,1.0,1.0,13.4,10.7,12.2,12.2,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,87.9,95.26666666666667,61.0,79.26666666666667
BWA,756,51.5,38.6,38.6,100.0,10.3,0.0,12.7,0.0,0.0,6.3,14.3,23.8,23.8,23.8,23.8,23.8,23.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.0,74.26666666666667,76.2,93.13333333333333
NAM,864,51.4,7.6,7.6,100.0,31.2,0.0,8.3,0.0,0.0,9.7,19.4,30.6,30.6,30.6,30.6,30.6,30.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,53.5,94.93333333333334,69.4,90.3
ARM,660,51.3,56.1,56.1,100.0,13.6,0.0,7.3,0.0,0.0,3.6,12.7,20.0,20.0,20.0,20.0,20.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.7,62.6,80.0,94.56666666666666
ZMB,774,48.2,44.2,44.2,100.0,39.5,3.9,22.5,3.9,3.9,10.1,17.8,25.6,25.6,25.6,25.6,25.6,25.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.0,69.23333333333333,74.4,89.4
UGA,780,47.9,61.0,61.0,100.0,50.0,0.0,10.8,0.0,0.0,6.2,13.8,24.6,24.6,24.6,24.6,24.6,24.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.4,59.333333333333336,75.4,93.33333333333333
IND,984,46.9,1.0,1.0,100.0,37.2,12.2,14.6,12.2,12.2,20.7,29.3,39.0,39.0,39.0,39.0,39.0,39.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,49.400000000000006,95.26666666666667,61.0,79.26666666666667
LKA,847,46.5,69.9,69.9,100.0,38.7,0.8,0.8,0.8,0.8,8.6,17.8,29.2,29.2,29.2,29.2,29.2,29.2,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,53.5,53.133333333333326,70.8,90.93333333333334
SRB,684,46.1,77.2,77.2,100.0,5.3,7.0,8.8,7.0,8.8,100.0,7.0,15.8,15.8,15.8,15.8,15.8,15.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,61.96666666666667,46.199999999999996,84.2,61.4
PAK,936,45.6,4.8,4.8,100.0,77.9,14.1,19.2,12.8,12.8,17.3,25.6,35.9,35.9,35.9,35.9,35.9,35.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,34.3,92.53333333333333,64.1,81.43333333333334
BGD,864,44.5,41.4,41.4,100.0,100.0,0.0,36.1,0.0,0.0,9.7,19.4,30.6,30.6,30.6,30.6,30.6,30.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,21.299999999999997,72.4,69.4,90.3
CIV,780,43.4,90.0,90.0,100.0,100.0,0.0,10.8,0.0,0.0,6.2,13.8,24.6,24.6,24.6,24.6,24.6,24.6,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,29.733333333333334,40.0,75.4,93.33333333333333
EST,552,19.0,100.0,100.0,42.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,38.4,44.7,38.9,38.9,81.5,81.5,38.4,38.4,19.200000000000003,0.0,0.0,0.0
URY,555,18.9,100.0,100.0,58.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,32.4,36.8,68.6,68.6,61.3,61.3,29.7,29.7,13.866666666666674,0.0,0.0,0.0
KWT,552,16.5,100.0,100.0,68.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,44.9,44.9,38.6,38.6,100.0,100.0,34.8,34.8,10.5,0.0,0.0,0.0
SAU,552,16.0,100.0,100.0,35.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,54.0,54.0,51.1,51.1,100.0,100.0,34.8,34.8,21.36666666666666,0.0,0.0,0.0
UKR,559,15.8,100.0,100.0,56.9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,46.0,46.0,47.0,47.0,100.0,100.0,38.8,38.8,14.366666666666674,0.0,0.0,0.0
MAR,552,14.8,100.0,100.0,62.5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,59.2,59.2,39.5,39.5,100.0,100.0,42.4,42.4,12.5,0.0,0.0,0.0
GHA,553,11.9,100.0,100.0,42.3,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,51.9,51.9,63.3,63.3,100.0,100.0,71.4,71.4,19.233333333333334,0.0,0.0,0.0
ARE,552,11.2,100.0,100.0,64.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,88.8,88.8,59.8,59.8,100.0,100.0,34.8,34.8,11.766666666666666,0.0,0.0,0.0
ETH,553,8.5,100.0,100.0,49.4,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,74.5,74.5,74.5,74.5,100.0,100.0,74.5,74.5,16.86666666666666,0.0,0.0,0.0
EUR,547,8.3,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,66.66666666666666,0.0,0.0
ESTONIA,351,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
ETHIOPIA,129,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
MOROCCO,252,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
UKRAINE,303,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
UNITED ARAB EMIRATES,141,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
URUGUAY,327,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
GHANA,240,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
SAUDI ARABIA,267,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
IVORY COAST,243,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
KUWAIT,255,4.2,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,33.33333333333333,0.0,0.0,0.0
