iso3c,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,date
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-04-01
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-05-01
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-06-01
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-07-01
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-08-01
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-09-01
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-10-01
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-11-01
CAN,2.04931902885437,1.84907865524292,1.1675268411636353,1.6654860973358154,1.4644745588302612,1.5319653749465942,2000-12-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-01-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-02-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-03-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-04-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-05-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-06-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-07-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-08-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-09-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-10-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-11-01
CAN,1.9822314977645874,1.8608559370040894,1.2180317640304565,1.6613960266113281,1.53391695022583,1.4990538358688354,2002-12-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-01-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-02-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-03-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-04-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-05-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-06-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-07-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-08-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-09-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-10-01
CAN,1.9312920570373535,1.9246799945831299,1.0530767440795898,1.697056531906128,1.5246089696884155,1.547556757926941,2003-11-01
