iso3,Date,deficit-to-gdp
ARE,1998-12-01,26571.562
ARE,1999-01-01,1.307
ARE,1999-01-01,27833.669
ARE,1999-02-01,1.307
ARE,1999-02-01,27833.669
ARE,1999-03-01,1.307
ARE,1999-03-01,27833.669
ARE,1999-04-01,1.307
ARE,1999-04-01,27833.669
ARE,1999-05-01,1.307
ARE,1999-05-01,27833.669
ARE,1999-06-01,1.307
ARE,1999-06-01,27833.669
ARE,1999-07-01,1.307
ARE,1999-07-01,27833.669
ARE,1999-08-01,1.307
ARE,1999-08-01,27833.669
ARE,1999-09-01,1.307
ARE,1999-09-01,27833.669
ARE,1999-10-01,1.307
ARE,1999-10-01,27833.669
ARE,1999-11-01,1.307
ARE,1999-11-01,27833.669
ARE,1999-12-01,1.307
ARE,1999-12-01,27833.669
ARE,2000-01-01,10.728
ARE,2000-01-01,32495.862
ARE,2000-02-01,10.728
ARE,2000-02-01,32495.862
ARE,2000-03-01,10.728
ARE,2000-03-01,32495.862
ARE,2000-04-01,10.728
ARE,2000-04-01,32495.862
ARE,2000-05-01,10.728
ARE,2000-05-01,32495.862
ARE,2000-06-01,10.728
ARE,2000-06-01,32495.862
ARE,2000-07-01,10.728
ARE,2000-07-01,32495.862
ARE,2000-08-01,10.728
ARE,2000-08-01,32495.862
ARE,2000-09-01,10.728
ARE,2000-09-01,32495.862
ARE,2000-10-01,10.728
ARE,2000-10-01,32495.862
ARE,2000-11-01,10.728
ARE,2000-11-01,32495.862
ARE,2000-12-01,10.728
ARE,2000-12-01,32495.862
ARE,2001-01-01,1.298
ARE,2001-01-01,30877.714
ARE,2001-02-01,1.298
ARE,2001-02-01,30877.714
ARE,2001-03-01,1.298
ARE,2001-03-01,30877.714
ARE,2001-04-01,1.298
ARE,2001-04-01,30877.714
ARE,2001-05-01,1.298
ARE,2001-05-01,30877.714
ARE,2001-06-01,1.298
ARE,2001-06-01,30877.714
ARE,2001-07-01,1.298
ARE,2001-07-01,30877.714
ARE,2001-08-01,1.298
ARE,2001-08-01,30877.714
ARE,2001-09-01,1.298
ARE,2001-09-01,30877.714
ARE,2001-10-01,1.298
ARE,2001-10-01,30877.714
ARE,2001-11-01,1.298
ARE,2001-11-01,30877.714
ARE,2001-12-01,1.298
ARE,2001-12-01,30877.714
ARE,2002-01-01,-1.21
ARE,2002-01-01,30969.024
ARE,2002-02-01,-1.21
ARE,2002-02-01,30969.024
ARE,2002-03-01,-1.21
ARE,2002-03-01,30969.024
ARE,2002-04-01,-1.21
ARE,2002-04-01,30969.024
ARE,2002-05-01,-1.21
ARE,2002-05-01,30969.024
ARE,2002-06-01,-1.21
ARE,2002-06-01,30969.024
ARE,2002-07-01,-1.21
ARE,2002-07-01,30969.024
ARE,2002-08-01,-1.21
ARE,2002-08-01,30969.024
ARE,2002-09-01,-1.21
ARE,2002-09-01,30969.024
ARE,2002-10-01,-1.21
ARE,2002-10-01,30969.024
ARE,2002-11-01,-1.21
ARE,2002-11-01,30969.024
ARE,2002-12-01,-1.21
ARE,2002-12-01,30969.024
ARE,2003-01-01,2.356
ARE,2003-01-01,32166.941
ARE,2003-02-01,2.356
ARE,2003-02-01,32166.941
ARE,2003-03-01,2.356
ARE,2003-03-01,32166.941
ARE,2003-04-01,2.356
ARE,2003-04-01,32166.941
ARE,2003-05-01,2.356
ARE,2003-05-01,32166.941
ARE,2003-06-01,2.356
ARE,2003-06-01,32166.941
ARE,2003-07-01,2.356
ARE,2003-07-01,32166.941
ARE,2003-08-01,2.356
ARE,2003-08-01,32166.941
ARE,2003-09-01,2.356
ARE,2003-09-01,32166.941
ARE,2003-10-01,2.356
ARE,2003-10-01,32166.941
ARE,2003-11-01,2.356
ARE,2003-11-01,32166.941
ARE,2003-12-01,2.356
ARE,2003-12-01,32166.941
ARE,2004-01-01,6.456
ARE,2004-01-01,34944.807
ARE,2004-02-01,6.456
ARE,2004-02-01,34944.807
ARE,2004-03-01,6.456
ARE,2004-03-01,34944.807
ARE,2004-04-01,6.456
ARE,2004-04-01,34944.807
ARE,2004-05-01,6.456
ARE,2004-05-01,34944.807
ARE,2004-06-01,6.456
ARE,2004-06-01,34944.807
ARE,2004-07-01,6.456
ARE,2004-07-01,34944.807
ARE,2004-08-01,6.456
ARE,2004-08-01,34944.807
ARE,2004-09-01,6.456
ARE,2004-09-01,34944.807
ARE,2004-10-01,6.456
ARE,2004-10-01,34944.807
ARE,2004-11-01,6.456
ARE,2004-11-01,34944.807
ARE,2004-12-01,6.456
ARE,2004-12-01,34944.807
ARE,2005-01-01,16.024
ARE,2005-01-01,39389.226
ARE,2005-02-01,16.024
ARE,2005-02-01,39389.226
ARE,2005-03-01,16.024
ARE,2005-03-01,39389.226
ARE,2005-04-01,16.024
ARE,2005-04-01,39389.226
ARE,2005-05-01,16.024
ARE,2005-05-01,39389.226
ARE,2005-06-01,16.024
ARE,2005-06-01,39389.226
ARE,2005-07-01,16.024
ARE,2005-07-01,39389.226
ARE,2005-08-01,16.024
ARE,2005-08-01,39389.226
ARE,2005-09-01,16.024
ARE,2005-09-01,39389.226
ARE,2005-10-01,16.024
ARE,2005-10-01,39389.226
ARE,2005-11-01,16.024
ARE,2005-11-01,39389.226
ARE,2005-12-01,16.024
ARE,2005-12-01,39389.226
ARE,2006-01-01,20.151
ARE,2006-01-01,45239.607
ARE,2006-02-01,20.151
ARE,2006-02-01,45239.607
ARE,2006-03-01,20.151
ARE,2006-03-01,45239.607
ARE,2006-04-01,20.151
ARE,2006-04-01,45239.607
ARE,2006-05-01,20.151
ARE,2006-05-01,45239.607
ARE,2006-06-01,20.151
ARE,2006-06-01,45239.607
ARE,2006-07-01,20.151
ARE,2006-07-01,45239.607
ARE,2006-08-01,20.151
ARE,2006-08-01,45239.607
ARE,2006-09-01,20.151
ARE,2006-09-01,45239.607
ARE,2006-10-01,20.151
ARE,2006-10-01,45239.607
ARE,2006-11-01,20.151
ARE,2006-11-01,45239.607
ARE,2006-12-01,20.151
ARE,2006-12-01,45239.607
ARE,2007-01-01,17.133
ARE,2007-01-01,46090.439
ARE,2007-02-01,17.133
ARE,2007-02-01,46090.439
ARE,2007-03-01,17.133
ARE,2007-03-01,46090.439
ARE,2007-04-01,17.133
ARE,2007-04-01,46090.439
ARE,2007-05-01,17.133
ARE,2007-05-01,46090.439
ARE,2007-06-01,17.133
ARE,2007-06-01,46090.439
ARE,2007-07-01,17.133
ARE,2007-07-01,46090.439
ARE,2007-08-01,17.133
ARE,2007-08-01,46090.439
ARE,2007-09-01,17.133
ARE,2007-09-01,46090.439
ARE,2007-10-01,17.133
ARE,2007-10-01,46090.439
ARE,2007-11-01,17.133
ARE,2007-11-01,46090.439
ARE,2007-12-01,17.133
ARE,2007-12-01,46090.439
