date,yield,iso3
2010-09-01,19.689090909090908,ARG
2010-10-01,16.707,ARG
2012-02-01,11.778,ARG
2012-03-01,10.71888888888889,ARG
2012-04-01,10.847916666666668,ARG
2012-05-01,10.435833333333333,ARG
2012-06-01,11.384545454545455,ARG
2012-07-01,10.595769230769232,ARG
2012-08-01,10.71923076923077,ARG
2012-09-01,10.477083333333333,ARG
2012-10-01,10.182272727272727,ARG
2012-11-01,10.947142857142856,ARG
2012-12-01,11.454583333333334,ARG
2013-01-01,9.381153846153847,ARG
2013-02-01,8.396521739130435,ARG
2013-03-01,9.04,ARG
2014-10-01,10.836428571428572,ARG
2014-11-01,9.695882352941178,ARG
2014-12-01,9.806470588235294,ARG
2015-01-01,9.865714285714287,ARG
2015-02-01,8.776470588235293,ARG
2015-03-01,7.247894736842106,ARG
2015-04-01,6.734210526315789,ARG
2015-05-01,7.937083333333334,ARG
2015-06-01,8.647307692307693,ARG
2015-07-01,10.012592592592592,ARG
2015-08-01,9.4184,ARG
2015-09-01,9.331153846153846,ARG
2015-10-01,7.3404,ARG
2015-11-01,3.002083333333333,ARG
2015-12-01,1.8347826086956522,ARG
2016-01-01,2.201304347826087,ARG
2016-02-01,2.0545833333333334,ARG
2016-03-01,3.8728571428571428,ARG
2016-04-01,6.1388461538461545,ARG
2016-05-01,4.793333333333334,ARG
2016-06-01,3.0360416666666663,ARG
2016-07-01,2.2395833333333335,ARG
2016-08-01,2.912692307692308,ARG
2016-09-01,3.1712000000000002,ARG
2016-10-01,2.737142857142857,ARG
2016-11-01,2.8572727272727274,ARG
2016-12-01,2.4268181818181818,ARG
2017-01-01,2.3531818181818185,ARG
2017-02-01,2.12,ARG
2017-03-01,1.45875,ARG
2017-04-01,2.045,ARG
2017-05-01,2.9208695652173917,ARG
2017-06-01,4.195,ARG
2017-07-01,4.5,ARG
2017-08-01,4.607826086956522,ARG
2017-09-01,8.801333333333334,ARG
2017-10-01,14.36023076923077,ARG
2017-11-01,14.696608695652174,ARG
2017-12-01,15.124545454545455,ARG
2018-01-01,15.29132,ARG
2018-02-01,15.071375000000002,ARG
2018-03-01,15.664760000000001,ARG
2018-04-01,16.616565217391305,ARG
2018-05-01,17.2865,ARG
2018-06-01,17.481749999999998,ARG
2018-07-01,17.705619047619045,ARG
2018-08-01,18.05118181818182,ARG
2018-09-01,18.4028,ARG
2018-10-01,21.290045454545456,ARG
2018-11-01,20.202956521739132,ARG
2018-12-01,20.595933333333335,ARG
2019-01-01,21.082208333333334,ARG
2019-02-01,20.94295,ARG
2019-03-01,21.436619047619047,ARG
2019-04-01,22.793318181818183,ARG
2019-05-01,23.351551724137934,ARG
2019-06-01,23.84763333333333,ARG
2019-07-01,24.39955172413793,ARG
2019-08-01,24.961241379310344,ARG
2019-09-01,25.5568,ARG
2019-10-01,41.489758620689656,ARG
2019-11-01,51.384821428571435,ARG
2013-07-01,15.222923529411764,ARM
2013-08-01,15.235442857142857,ARM
2013-09-01,15.143424999999999,ARM
2013-10-01,15.076260869565218,ARM
2013-11-01,13.90347619047619,ARM
2013-12-01,11.67128,ARM
2014-01-01,11.064375,ARM
2014-02-01,11.226745,ARM
2014-03-01,11.477228571428572,ARM
2014-04-01,11.286280000000001,ARM
2014-05-01,11.127389473684211,ARM
2014-06-01,11.109657142857142,ARM
2014-07-01,11.233636363636363,ARM
2014-08-01,11.269775,ARM
2014-09-01,11.121057142857143,ARM
2014-10-01,10.76654347826087,ARM
2014-11-01,10.627405,ARM
2014-12-01,13.004345454545454,ARM
2015-01-01,13.6228,ARM
2015-02-01,13.129,ARM
2015-03-01,14.263618181818181,ARM
2015-04-01,14.479636842105261,ARM
2015-05-01,15.247789473684213,ARM
2015-06-01,15.161827272727272,ARM
2015-07-01,15.148021739130433,ARM
2015-08-01,15.291580952380952,ARM
2015-09-01,15.412074999999998,ARM
2015-10-01,15.348886363636364,ARM
2015-11-01,15.775109523809524,ARM
2015-12-01,15.697845454545455,ARM
2016-01-01,15.883113333333334,ARM
2016-02-01,15.938690476190475,ARM
2016-03-01,15.470044999999999,ARM
2016-04-01,15.181671428571427,ARM
2016-05-01,15.183857142857143,ARM
2016-06-01,15.122218181818182,ARM
2016-07-01,14.935884999999999,ARM
2016-08-01,14.241804347826088,ARM
2016-09-01,14.101495238095238,ARM
2016-10-01,12.957042857142856,ARM
2016-11-01,12.381433333333334,ARM
2016-12-01,11.972036363636363,ARM
2017-01-01,11.9162,ARM
2017-02-01,11.99517,ARM
2017-03-01,11.952368181818184,ARM
2017-04-01,11.462616666666667,ARM
2017-05-01,11.152695454545453,ARM
2017-06-01,11.137709090909091,ARM
2017-07-01,10.90805,ARM
2017-08-01,10.853321739130434,ARM
2017-09-01,10.949,ARM
2017-10-01,10.70979090909091,ARM
2017-11-01,10.304527272727272,ARM
2017-12-01,10.059809523809523,ARM
2018-01-01,10.068894444444446,ARM
2018-02-01,9.811865000000001,ARM
2018-03-01,9.705047619047619,ARM
2018-04-01,9.6995,ARM
2018-05-01,9.73727619047619,ARM
2018-06-01,9.794061904761904,ARM
2018-07-01,9.738028571428572,ARM
2018-08-01,9.542560869565218,ARM
2018-09-01,9.750368421052633,ARM
2018-10-01,9.619768181818182,ARM
2018-11-01,9.603347826086956,ARM
2018-12-01,9.605775,ARM
2019-01-01,9.846658823529411,ARM
2019-02-01,10.022110000000001,ARM
2019-03-01,9.894015,ARM
2019-04-01,9.953328571428571,ARM
2019-05-01,9.763555,ARM
2019-06-01,9.700385,ARM
2019-07-01,9.582336363636363,ARM
2019-08-01,9.506945454545455,ARM
2019-09-01,9.334704761904762,ARM
2019-10-01,9.065160869565219,ARM
2019-11-01,8.804685714285714,ARM
