iso3,Date,account balance
ARE,2007-09-01,7.631
ARE,2007-10-01,7.631
ARE,2007-11-01,7.631
ARE,2007-12-01,7.631
ARE,2008-01-01,7.059
ARE,2008-02-01,7.059
ARE,2008-03-01,7.059
ARE,2008-04-01,7.059
ARE,2008-05-01,7.059
ARE,2008-06-01,7.059
ARE,2008-07-01,7.059
ARE,2008-08-01,7.059
ARE,2008-09-01,7.059
ARE,2008-10-01,7.059
ARE,2008-11-01,7.059
ARE,2008-12-01,7.059
ARE,2009-01-01,3.095
ARE,2009-02-01,3.095
ARE,2009-03-01,3.095
ARE,2009-04-01,3.095
ARE,2009-05-01,3.095
ARE,2009-06-01,3.095
ARE,2009-07-01,3.095
ARE,2009-08-01,3.095
ARE,2009-09-01,3.095
ARE,2009-10-01,3.095
ARE,2009-11-01,3.095
ARE,2009-12-01,3.095
ARE,2010-01-01,4.063
ARE,2010-02-01,4.063
ARE,2010-03-01,4.063
ARE,2010-04-01,4.063
ARE,2010-05-01,4.063
ARE,2010-06-01,4.063
ARE,2010-07-01,4.063
ARE,2010-08-01,4.063
ARE,2010-09-01,4.063
ARE,2010-10-01,4.063
ARE,2010-11-01,4.063
ARE,2010-12-01,4.063
ARE,2011-01-01,12.06
ARE,2011-02-01,12.06
ARE,2011-03-01,12.06
ARE,2011-04-01,12.06
ARE,2011-05-01,12.06
ARE,2011-06-01,12.06
ARE,2011-07-01,12.06
ARE,2011-08-01,12.06
ARE,2011-09-01,12.06
ARE,2011-10-01,12.06
ARE,2011-11-01,12.06
ARE,2011-12-01,12.06
ARE,2012-01-01,19.006
ARE,2012-02-01,19.006
ARE,2012-03-01,19.006
ARE,2012-04-01,19.006
ARE,2012-05-01,19.006
ARE,2012-06-01,19.006
ARE,2012-07-01,19.006
ARE,2012-08-01,19.006
ARE,2012-09-01,19.006
ARE,2012-10-01,19.006
ARE,2012-11-01,19.006
ARE,2012-12-01,19.006
ARE,2013-01-01,18.293
ARE,2013-02-01,18.293
ARE,2013-03-01,18.293
ARE,2013-04-01,18.293
ARE,2013-05-01,18.293
ARE,2013-06-01,18.293
ARE,2013-07-01,18.293
ARE,2013-08-01,18.293
ARE,2013-09-01,18.293
ARE,2013-10-01,18.293
ARE,2013-11-01,18.293
ARE,2013-12-01,18.293
