year,iso3c,yield_with_spread,sovereign_spread,cpi_yoy,gdp_annual_growth_rate,gdp_per_capita,gross gdp,debt_to_gdp,deficit_to_gdp,current_account_balance,vulnerability,wgi_cc,wgi_ge,wgi_pv,wgi_rl,wgi_rq,wgi_va,gain,population,mineral_rent
1982,CHE,4.787809751651857,-8.213196459253096,,-1.3,,,,,,,,,,,,,,,
1982,CIV,,,,0.2,,,,,,,,,,,,,,,
1982,DEU,8.965865197001067,-4.0351410139038855,,-0.5,,,,,,,,,,,,,,,
1982,DNK,22.145166448317763,9.144160237412812,,,,,,,,,,,,,,,,,
1982,ESP,15.9875,2.986493789095048,,,,,,,,,,,,,,,,,
1982,ETH,,,,8.2,,,,,,,,,,,,,,,
1982,EUR,14.311208333333331,1.3102021224283813,,,,,,,,,,,,,,,,,
1982,FIN,12.3825,-0.6185062109049523,,,,,,,,,,,,,,,,,
1982,FRA,15.9975,2.996493789095048,,2.4,,,,,,,,,,,,,,,
1982,GBR,13.027552179196343,0.0265459682913919,,1.9750000000000003,,,,,,,,,,,,,,,
1982,GRC,15.545833333333334,2.544827122428381,,,,,,,,,,,,,,,,,
1982,HKG,,,,2.9499999999999997,,,,,,,,,,,,,,,
1982,IND,7.583333333333333,-5.4176728775716185,,2.9,,,,,,,,,,,,,,,
1982,IRL,17.0575,4.056493789095048,,,,,,,,,,,,,,,,,
1982,ITA,20.895,7.893993789095049,,0.3,,,,,,,,,,,,,,,
1982,JPN,8.126815357004107,-4.874190853900845,,3.375,,,,,,,,,,,,,,,
1982,KOR,,,,8.299999999999999,,,,,,,,,,,,,,,
1982,KWT,,,,-12.31,,,,,,,,,,,,,,,
1982,LUX,10.501666666666669,-2.499339544238285,,,,,,,,,,,,,,,,,
1982,MYS,8.525,-4.476006210904952,,,,,,,,,,,,,,,,,
1982,NLD,10.246260798983624,-2.754745411921327,,,,,,,,,,,,,,,,,
1982,NOR,13.836666666666666,0.8356604557617145,,0.25,,,,,,,,,,,,,,,
1982,NZL,12.893333333333333,-0.1076728775716187,,,,,,,,,,,,,,,,,
1982,PAK,9.359166666666669,-3.6418395442382856,,,,,,,,,,,,,,,,,
1982,PER,,,,-0.1774999999999999,,,,,,,,,,,,,,,
1982,PHL,,,,3.5749999999999997,,,,,,,,,,,,,,,
1982,PRT,16.791666666666668,3.790660455761715,,,,,,,,,,,,,,,,,
1982,SAU,,,,-20.7,,,,,,,,,,,,,,,
1982,SGP,,,,7.1499999999999995,,,,,,,,,,,,,,,
1982,SWE,13.041666666666666,0.0406604557617143,,1.3,,,,,,,,,,,,,,,
1982,THA,13.854166666666666,0.8531604557617145,,,,,,,,,,,,,,,,,
1982,TWN,,,,4.8075,,,,,,,,,,,,,,,
1982,USA,,,,-1.8,,,,,,,,,,,,,,,
1982,ZAF,13.508333333333333,0.5073271224283812,,,,,,,,,,,,,,,,,
1982,ZMB,,,,-2.7999999999999994,,,,,,,,,,,,,,,
1983,AUS,13.992292568542569,2.8877543942200696,,-0.6,,,,,,,,,,,,,,,
1983,AUT,8.173488902179692,-2.9310492721428076,,,,,,,,,,,,,,,,,
1983,BEL,11.7975,0.6929618256775013,,0.3999999999999999,,,,,,,,,,,,,,,
1983,CAN,11.398583333333333,0.2940451590108344,,2.6,,,,,,,,,,,,,,,
1983,CHE,4.5133160742766005,-6.591222100045898,,0.625,,,,,,,,,,,,,,,
1983,CIV,,,,-3.9,,,,,,,,,,,,,,,
1983,DEU,8.01788564997804,-3.086652524344458,,1.475,,,,,,,,,,,,,,,
1983,DNK,14.94158557006812,3.8370473957456226,,,,,,,,,,,,,,,,,
1983,ESP,16.91,5.805461825677501,,,,,,,,,,,,,,,,,
1983,ETH,,,,-2.9,,,,,,,,,,,,,,,
1983,EUR,13.037958333333334,1.933420159010834,,,,,,,,,,,,,,,,,
1983,FIN,13.0625,1.9579618256775009,,,,,,,,,,,,,,,,,
1983,FRA,14.301666666666668,3.197128492344168,,1.25,,,,,,,,,,,,,,,
1983,GBR,11.241630855382857,0.1370926810603584,,4.1499999999999995,,,,,,,,,,,,,,,
1983,GRC,18.2425,7.1379618256775,,,,,,,,,,,,,,,,,
1983,HKG,,,,5.925,,,,,,,,,,,,,,,
1983,IND,7.984999999999999,-3.1195381743224995,,7.900000000000001,,,,,,,,,,,,,,,
1983,IRL,13.904166666666669,2.799628492344168,,,,,,,,,,,,,,,,,
1983,ITA,18.046666666666667,6.9421284923441675,,1.375,,,,,,,,,,,,,,,
1983,JPN,7.827613330510069,-3.2769248438124294,,3.0500000000000003,,,,,,,,,,,,,,,
1983,KOR,,,,13.35,,,,,,,,,,,,,,,
1983,KWT,,,,10.41,,,,,,,,,,,,,,,
1983,LUX,9.830833333333333,-1.2737048409891658,,,,,,,,,,,,,,,,,
1983,MYS,8.525,-2.579538174322499,,,,,,,,,,,,,,,,,
1983,NLD,8.279890857331074,-2.8246473169914244,,,,,,,,,,,,,,,,,
1983,NOR,13.199166666666663,2.094628492344168,,3.975,,,,,,,,,,,,,,,
1983,NZL,12.1825,1.0779618256775008,,,,,,,,,,,,,,,,,
1983,PAK,9.308333333333334,-1.7962048409891656,,,,,,,,,,,,,,,,,
1983,PER,,,,-9.3275,,,,,,,,,,,,,,,
1983,PHL,,,,2.0,,,,,,,,,,,,,,,
1983,PRT,19.2225,8.117961825677503,,,,,,,,,,,,,,,,,
1983,SAU,,,,-16.1,,,,,,,,,,,,,,,
1983,SGP,,,,8.549999999999999,,,,,,,,,,,,,,,
1983,SWE,12.3625,1.2579618256775007,,1.9,,,,,,,,,,,,,,,
1983,THA,11.133333333333333,0.0287951590108341,,,,,,,,,,,,,,,,,
1983,TWN,,,,8.9325,,,,,,,,,,,,,,,
1983,USA,,,,4.575,,,,,,,,,,,,,,,
1983,ZAF,12.665,1.560461825677501,,,,,,,,,,,,,,,,,
1983,ZMB,,,,-2.0,,,,,,,,,,,,,,,
1984,AUS,13.549975766986636,1.1104623498799704,,6.7,,,,,,,,,,,,,,,
1984,AUT,8.016170158573797,-4.42334325853287,,,,,,,,,,,,,,,,,
1984,BEL,11.955,-0.484513417106666,,2.1,,,,,,,,,,,,,,,
1984,CAN,12.710041666666667,0.2705282495600004,,5.8999999999999995,,,,,,,,,,,,,,,
1984,CHE,4.71398006969829,-7.725533347408375,,2.975,,,,,,,,,,,,,,,
1984,CIV,,,,-2.7000000000000006,,,,,,,,,,,,,,,
1984,DEU,7.948528483593701,-4.490984933512965,,2.9,,,,,,,,,,,,,,,
1984,DNK,14.090004766042052,1.6504913489353863,,,,,,,,,,,,,,,,,
1984,ESP,16.5225,4.082986582893334,,,,,,,,,,,,,,,,,
1984,ETH,,,,-11.1,,,,,,,,,,,,,,,
1984,EUR,12.185266666666664,-0.2542467504399996,,,,,,,,,,,,,,,,,
1984,FIN,14.006666666666668,1.5671532495600005,,,,,,,,,,,,,,,,,
1984,FRA,12.435041666666669,-0.0044717504399994,,1.675,,,,,,,,,,,,,,,
1984,GBR,11.129641414141412,-1.3098720029652524,,2.225,,,,,,,,,,,,,,,
1984,GRC,18.469166666666663,6.029653249560002,,,,,,,,,,,,,,,,,
1984,HKG,,,,10.2,,,,,,,,,,,,,,,
1984,IND,8.6475,-3.792013417106666,,4.0,,,,,,,,,,,,,,,
1984,IRL,14.6125,2.172986582893334,,,,,,,,,,,,,,,,,
1984,ITA,15.647791666666668,3.2082782495600006,,3.25,,,,,,,,,,,,,,,
1984,JPN,7.247087497647279,-5.192425919459386,,4.575,,,,,,,,,,,,,,,
1984,KOR,,,,10.7,,,,,,,,,,,,,,,
1984,KWT,,,,5.24,,,,,,,,,,,,,,,
1984,LUX,10.223333333333334,-2.216180083773333,,,,,,,,,,,,,,,,,
1984,MYS,8.6,-3.8395134171066663,,,,,,,,,,,,,,,,,
1984,NLD,8.165608146684233,-4.273905270422433,,,,,,,,,,,,,,,,,
1984,NOR,12.546666666666669,0.1071532495600004,,6.075,,,,,,,,,,,,,,,
1984,NZL,12.613333333333332,0.1738199162266668,,,,,,,,,,,,,,,,,
1984,PAK,9.25,-3.189513417106666,,,,,,,,,,,,,,,,,
1984,PER,,,,3.64,,,,,,,,,,,,,,,
1984,PHL,,,,-7.375,,,,,,,,,,,,,,,
1984,PRT,21.5025,9.062986582893334,,,,,,,,,,,,,,,,,
1984,SAU,,,,-4.7,,,,,,,,,,,,,,,
1984,SGP,,,,8.85,,,,,,,,,,,,,,,
1984,SWE,12.558041666666666,0.1185282495600004,,4.5,,,,,,,,,,,,,,,
1984,THA,12.411666666666669,-0.0278467504399997,,,,,,,,,,,,,,,,,
1984,TWN,,,,10.1425,,,,,,,,,,,,,,,
1984,USA,,,,7.275,,,,,,,,,,,,,,,
1984,ZAF,15.226666666666668,2.7871532495600007,,,,,,,,,,,,,,,,,
1984,ZMB,,,,-0.3,,,,,,,,,,,,,,,
1985,AUS,13.900849470101472,3.2779134874681213,,5.0,,,,,,,,,,,,,,,
1985,AUT,7.770392675666989,-2.852543306966362,,,,,,,,,,,,,,,,,
1985,BEL,10.62,-0.002935982633351,,1.825,,,,,,,,,,,,,,,
1985,CAN,10.911833333333334,0.2888973506999824,,4.75,,,,,,,,,,,,,,,
1985,CHE,4.749822375245316,-5.873113607388035,,3.675,,,,,,,,,,,,,,,
1985,CIV,,,,4.5,,,,,,,,,,,,,,,
1985,DEU,6.946402213125039,-3.676533769508312,,2.6,,,,,,,,,,,,,,,
1985,DNK,11.548608488172562,0.9256725055392102,,,,,,,,,,,,,,,,,
1985,ESP,13.3675,2.744564017366649,,,,,,,,,,,,,,,,,
1985,ETH,,,,9.7,,,,,,,,,,,,,,,
1985,EUR,10.687691666666666,0.0647556840333156,,,,,,,,,,,,,,,,,
1985,FIN,12.704166666666666,2.0812306840333155,,,,,,,,,,,,,,,,,
1985,FRA,11.139242518351212,0.5163065357178631,,1.675,,,,,,,,,,,,,,,
1985,GBR,10.9718400621118,0.3489040794784498,,4.125,,,,,,,,,,,,,,,
1985,GRC,15.775,5.152064017366649,,,,,,,,,,,,,,,,,
1985,HKG,,,,0.8249999999999998,,,,,,,,,,,,,,,
1985,IND,8.981666666666667,-1.6412693159666842,,4.2,,,,,,,,,,,,,,,
1985,IRL,12.641666666666666,2.018730684033316,,,,,,,,,,,,,,,,,
1985,ITA,13.756583333333332,3.1336473506999822,,2.8249999999999997,,,,,,,,,,,,,,,
1985,JPN,6.5096736699291045,-4.113262312704246,,6.2250000000000005,,,,,,,,,,,,,,,
1985,KOR,,,,7.675,,,,,,,,,,,,,,,
1985,KWT,,,,-4.26,,,,,,,,,,,,,,,
1985,LUX,9.53,-1.092935982633351,,,,,,,,,,,,,,,,,
1985,MYS,8.6,-2.0229359826333515,,,,,,,,,,,,,,,,,
1985,NLD,7.331594516594516,-3.2913414660388347,,,,,,,,,,,,,,,,,
1985,NOR,12.899166666666666,2.2762306840333153,,5.5249999999999995,,,,,,,,,,,,,,,
1985,NZL,17.657505530955188,7.034569548321837,,,,,,,,,,,,,,,,,
1985,PAK,9.194166666666666,-1.4287693159666843,,,,,,,,,,,,,,,,,
1985,PER,,,,2.5425,,,,,,,,,,,,,,,
1985,PHL,,,,-7.225,,,,,,,,,,,,,,,
1985,PRT,20.748333333333335,10.125397350699982,,,,,,,,,,,,,,,,,
1985,SAU,,,,-9.8,,,,,,,,,,,,,,,
1985,SGP,,,,-0.5749999999999998,,,,,,,,,,,,,,,
1985,SWE,13.104041666666667,2.4811056840333157,,2.325,,,,,,,,,,,,,,,
1985,THA,12.113333333333332,1.490397350699982,,,,,,,,,,,,,,,,,
1985,TWN,,,,4.82,,,,,,,,,,,,,,,
1985,USA,,,,4.2,,,,,,,,,,,,,,,
1985,ZAF,16.791666666666668,6.168730684033316,,,,,,,,,,,,,,,,,
1985,ZMB,,,,1.6000000000000003,,,,,,,,,,,,,,,
1986,AUS,13.473822024181006,5.79125367464555,,2.1,,,,,,,,,,,,,,,
1986,AUT,7.323388991252835,-0.3591793582826189,,,,,,,,,,,,,,,,,
1986,BEL,7.929166666666667,0.2465983171312121,,1.85,,,,,,,,,,,,,,,
1986,CAN,9.145541666666666,1.462973317131212,,2.15,,,,,,,,,,,,,,,
1986,CHE,4.272590018896055,-3.4099783306394005,,1.875,,,,,,,,,,,,,,,
1986,CIV,,,,3.26,,,,,,,,,,,,,,,
1986,DEU,5.893830408118451,-1.788737941417003,,2.3000000000000003,,,,,,,,,,,,,,,
1986,DNK,10.168623067467747,2.4860547179322925,,,,,,,,,,,,,,,,,
1986,ESP,12.086180555555556,4.4036122060201,,,,,,,,,,,,,,,,,
1986,ETH,,,,13.9,,,,,,,,,,,,,,,
1986,EUR,7.829091348265262,0.146522998729807,,,,,,,,,,,,,,,,,
1986,FIN,11.656666666666666,3.974098317131212,,,,,,,,,,,,,,,,,
1986,FRA,8.51649779628584,0.8339294467503854,,2.325,,,,,,,,,,,,,,,
1986,GBR,10.126045838823012,2.443477489287558,,3.1,,,,,,,,,,,,,,,
1986,GRC,15.781666666666666,8.099098317131213,,,,,,,,,,,,,,,,,
1986,HKG,,,,11.0,,,,,,,,,,,,,,,
1986,IND,9.7975,2.1149316504645452,,4.3,,,,,,,,,,,,,,,
1986,IRL,10.98428878850618,3.3017204389707246,,,,,,,,,,,,,,,,,
1986,ITA,11.583,3.9004316504645455,,3.0,,,,,,,,,,,,,,,
1986,JPN,5.3457413568919,-2.3368269926435543,,2.875,,,,,,,,,,,,,,,
1986,KOR,,,,11.15,,,,,,,,,,,,,,,
1986,KWT,,,,8.57,,,,,,,,,,,,,,,
1986,LUX,8.666666666666666,0.9840983171312124,,,,,,,,,,,,,,,,,
1986,MYS,8.6,0.9174316504645452,,,,,,,,,,,,,,,,,
1986,NLD,6.303737169834996,-1.3788311797004589,,,,,,,,,,,,,,,,,
1986,NOR,13.344461070330636,5.661892720795181,,4.075,,,,,,,,,,,,,,,
1986,NZL,16.448665347905337,8.766096998369882,,,,,,,,,,,,,,,,,
1986,PAK,8.544166666666667,0.8615983171312122,,,,,,,,,,,,,,,,,
1986,PER,,,,11.93,,,,,,,,,,,,,,,
1986,PHL,,,,3.5,,,,,,,,,,,,,,,
1986,PRT,15.755833333333332,8.073264983797879,,,,,,,,,,,,,,,,,
1986,SAU,,,,17.0,,,,,,,,,,,,,,,
1986,SGP,,,,1.375,,,,,,,,,,,,,,,
1986,SWE,10.251375,2.5688066504645453,,3.15,,,,,,,,,,,,,,,
1986,THA,9.105833333333331,1.4232649837978786,,,,,,,,,,,,,,,,,
1986,TWN,,,,11.46,,,,,,,,,,,,,,,
1986,USA,,,,3.4499999999999997,,,,,,,,,,,,,,,
1986,ZAF,16.395833333333332,8.71326498379788,,,,,,,,,,,,,,,,,
1986,ZMB,,,,0.6999999999999998,,,,,,,,,,,,,,,
1987,AUS,13.141036059351276,4.756098953328645,,5.0249999999999995,,,,,,,,,,,,,,,
1987,AUT,6.931256085701738,-1.4536810203208943,,,,,,,,,,,,,,,,,
1987,BEL,7.981413670870193,-0.4035234351524395,,2.4,,,,,,,,,,,,,,,
1987,CAN,9.470708333333333,1.0857712273107012,,4.075,,,,,,,,,,,,,,,
1987,CHE,4.123006916996047,-4.261930189026585,,1.5750000000000002,,,,,,,,,,,,,,,
1987,CIV,,,,-0.3499999999999999,,,,,,,,,,,,,,,
1987,DEU,6.1342993757450275,-2.2506377302776044,,1.275,,,,,,,,,,,,,,,
1987,DNK,11.284355477791976,2.8994183717693445,,,,,,,,,,,,,,,,,
1987,ESP,12.538791666666668,4.153854560644034,,,,,,,,,,,,,,,,,
1987,ETH,,,,0.5,,,,,,,,,,,,,,,
1987,EUR,7.903477868749608,-0.4814592372730244,,,,,,,,,,,,,,,,,
1987,FIN,11.684166666666668,3.2992295606440347,,,,,,,,,,,,,,,,,
1987,FRA,9.45580772790012,1.070870621877487,,2.6,,,,,,,,,,,,,,,
1987,GBR,9.892214591567852,1.5072774855452202,,5.3999999999999995,,,,,,,,,,,,,,,
1987,GRC,17.474166666666665,9.089229560644034,,,,,,,,,,,,,,,,,
1987,HKG,,,,13.4,,,,,,,,,,,,,,,
1987,IND,10.150833333333331,1.7658962273107013,,3.5,,,,,,,,,,,,,,,
1987,IRL,11.211673567977916,2.8267364619552833,,,,,,,,,,,,,,,,,
1987,ITA,10.533041666666668,2.1481045606440343,,2.9499999999999997,,,,,,,,,,,,,,,
1987,JPN,4.953847131093544,-3.431089974929088,,4.025,,,,,,,,,,,,,,,
1987,KOR,,,,12.6,,,,,,,,,,,,,,,
1987,KWT,,,,8.14,,,,,,,,,,,,,,,
1987,LUX,7.96,-0.4249371060226323,,,,,,,,,,,,,,,,,
1987,MYS,6.755416666666666,-1.629520439355966,,,,,,,,,,,,,,,,,
1987,NLD,6.368907122466905,-2.016029983555727,,,,,,,,,,,,,,,,,
1987,NOR,13.486786796536798,5.101849690514164,,1.75,,,,,,,,,,,,,,,
1987,NZL,15.703269118166649,7.318332012144015,,0.7333333333333333,,,,,,,,,,,,,,,
1987,PAK,8.263333333333334,-0.1216037726892989,,,,,,,,,,,,,,,,,
1987,PER,,,,8.1425,,,,,,,,,,,,,,,
1987,PHL,,,,4.325,,,,,,,,,,,,,,,
1987,PRT,15.1175,6.732562893977367,,,,,,,,,,,,,,,,,
1987,SAU,,,,-6.599999999999999,,,,,,,,,,,,,,,
1987,SGP,,,,10.775,,,,,,,,,,,,,,,
1987,SWE,11.716203912696765,3.3312668066741296,,3.4,,,,,,,,,,,,,,,
1987,THA,7.479166666666667,-0.9057704393559656,,,,,,,,,,,,,,,,,
1987,TWN,,,,12.8075,,,,,,,,,,,,,,,
1987,USA,,,,3.475,,,,,,,,,,,,,,,
1987,ZAF,15.515833333333331,7.130896227310701,,,,,,,,,,,,,,,,,
1987,ZMB,,,,2.7000000000000006,,,,,,,,,,,,,,,
1988,AUS,12.06587685245723,3.2210876095046577,,4.175,,,,,,,,,,,,,,,
