Date,Country,Rating
1989-03-01,BEL,AA+
1989-03-01,CHE,AAA
1989-03-01,DEU,AAA
1989-03-01,DNK,AA
1989-03-01,ESP,AA
1989-03-01,GRC,BBB
1989-03-01,HKG,A+
1989-03-01,IRL,A+
1989-03-01,ISL,A
1989-03-01,ISR,BBB-
1989-03-01,ITA,AA+
1989-03-01,KOR,A+
1989-03-01,MYS,A-
1989-03-01,PRT,A
1989-04-01,BEL,AA+
1989-04-01,CHE,AAA
1989-04-01,DEU,AAA
1989-04-01,DNK,AA
1989-04-01,ESP,AA
1989-04-01,GRC,BBB
1989-04-01,HKG,A+
1989-04-01,IRL,A+
1989-04-01,ISL,A
1989-04-01,ISR,BBB-
1989-04-01,ITA,AA+
1989-04-01,KOR,A+
1989-04-01,MYS,A-
1989-04-01,PRT,A
1989-04-01,TWN,AA
1989-05-01,BEL,AA+
1989-05-01,CHE,AAA
1989-05-01,DEU,AAA
1989-05-01,DNK,AA
1989-05-01,ESP,AA
1989-05-01,GRC,BBB
1989-05-01,HKG,A+
1989-05-01,IRL,A+
1989-05-01,ISL,A
1989-05-01,ISR,BBB-
1989-05-01,ITA,AA+
1989-05-01,KOR,A+
1989-05-01,MYS,A-
1989-05-01,PRT,A
1989-05-01,SGP,AA
1989-05-01,TWN,AA
1989-06-01,AUT,AAA
1989-06-01,BEL,AA+
1989-06-01,CAN,AAA
1989-06-01,CHE,AAA
1989-06-01,DEU,AAA
1989-06-01,DNK,AA
1989-06-01,ESP,AA
1989-06-01,FIN,AAA
1989-06-01,FRA,AAA
1989-06-01,GBR,AAA
1989-06-01,GRC,BBB
1989-06-01,HKG,A+
1989-06-01,IRL,A+
1989-06-01,ISL,A
1989-06-01,ISR,BBB-
1989-06-01,ITA,AA+
1989-06-01,JPN,AAA
1989-06-01,KOR,A+
1989-06-01,MYS,A-
1989-06-01,NOR,AAA
1989-06-01,PRT,A
1989-06-01,SGP,AA
1989-06-01,SWE,AAA
1989-06-01,THA,A-
1989-06-01,THA,A-
1989-06-01,TWN,AA
1989-07-01,AUT,AAA
1989-07-01,BEL,AA+
1989-07-01,CAN,AAA
1989-07-01,CHE,AAA
1989-07-01,DEU,AAA
1989-07-01,DNK,AA
1989-07-01,ESP,AA
1989-07-01,FIN,AAA
1989-07-01,FRA,AAA
1989-07-01,GBR,AAA
1989-07-01,GRC,BBB
1989-07-01,HKG,A+
1989-07-01,IRL,A+
1989-07-01,ISL,A
1989-07-01,ISR,BBB-
1989-07-01,ITA,AA+
1989-07-01,JPN,AAA
1989-07-01,KOR,A+
1989-07-01,MYS,A-
1989-07-01,NOR,AAA
1989-07-01,PRT,A
1989-07-01,SGP,AA
1989-07-01,SWE,AAA
1989-07-01,THA,A-
1989-07-01,TWN,AA
1989-08-01,AUT,AAA
1989-08-01,BEL,AA+
1989-08-01,CAN,AAA
1989-08-01,CHE,AAA
1989-08-01,DEU,AAA
1989-08-01,DNK,AA
1989-08-01,ESP,AA
1989-08-01,FIN,AAA
1989-08-01,FRA,AAA
1989-08-01,GBR,AAA
1989-08-01,GRC,BBB
1989-08-01,HKG,A+
1989-08-01,IRL,A+
1989-08-01,ISL,A
1989-08-01,ISR,BBB-
1989-08-01,ITA,AA+
1989-08-01,JPN,AAA
1989-08-01,KOR,A+
1989-08-01,MYS,A-
1989-08-01,NOR,AAA
1989-08-01,PRT,A
1989-08-01,SGP,AA
1989-08-01,SWE,AAA
1989-08-01,THA,A-
1989-08-01,TWN,AA
1989-09-01,AUT,AAA
1989-09-01,BEL,AA+
1989-09-01,CAN,AAA
1989-09-01,CHE,AAA
1989-09-01,DEU,AAA
1989-09-01,DNK,AA
1989-09-01,ESP,AA
1989-09-01,FIN,AAA
1989-09-01,FRA,AAA
1989-09-01,GBR,AAA
1989-09-01,GRC,BBB
1989-09-01,HKG,A+
1989-09-01,IRL,A+
1989-09-01,ISL,A
1989-09-01,ISR,BBB-
1989-09-01,ITA,AA+
1989-09-01,JPN,AAA
1989-09-01,KOR,A+
1989-09-01,MYS,A-
1989-09-01,NOR,AAA
1989-09-01,PRT,A
1989-09-01,SGP,AA
1989-09-01,SWE,AAA
1989-09-01,THA,A-
1989-09-01,TWN,AA
1989-10-01,AUT,AAA
1989-10-01,BEL,AA+
1989-10-01,CAN,AAA
1989-10-01,CHE,AAA
1989-10-01,DEU,AAA
1989-10-01,DNK,AA
1989-10-01,ESP,AA
1989-10-01,FIN,AAA
1989-10-01,FRA,AAA
1989-10-01,GBR,AAA
1989-10-01,GRC,BBB
1989-10-01,HKG,A+
1989-10-01,IRL,AA-
1989-10-01,ISL,A
1989-10-01,ISR,BBB-
1989-10-01,ITA,AA+
1989-10-01,JPN,AAA
1989-10-01,KOR,A+
1989-10-01,MYS,A-
1989-10-01,NOR,AAA
1989-10-01,PRT,A
1989-10-01,SGP,AA
1989-10-01,SWE,AAA
1989-10-01,THA,A-
1989-10-01,TWN,AA
1989-11-01,AUT,AAA
1989-11-01,BEL,AA+
1989-11-01,CAN,AAA
1989-11-01,CHE,AAA
1989-11-01,DEU,AAA
1989-11-01,DNK,AA
1989-11-01,ESP,AA
1989-11-01,FIN,AAA
1989-11-01,FRA,AAA
1989-11-01,GBR,AAA
1989-11-01,GRC,BBB
1989-11-01,HKG,A+
1989-11-01,IRL,AA-
1989-11-01,ISL,A
1989-11-01,ISR,BBB-
1989-11-01,ITA,AA+
1989-11-01,JPN,AAA
1989-11-01,KOR,A+
1989-11-01,MYS,A-
1989-11-01,NOR,AAA
1989-11-01,PRT,A
1989-11-01,SGP,AA
1989-11-01,SWE,AAA
1989-11-01,THA,A-
1989-11-01,TWN,AA
1989-12-01,AUT,AAA
1989-12-01,BEL,AA+
1989-12-01,CAN,AAA
1989-12-01,CHE,AAA
1989-12-01,DEU,AAA
1989-12-01,DNK,AA
