iso3,Date,NEER
ARG,2008-06-01,98.26
ARG,2008-07-01,98.06
ARG,2008-08-01,99.91
ARG,2008-09-01,102.25
ARG,2008-10-01,106.14
ARG,2008-11-01,106.78
ARG,2008-12-01,103.4
ARG,2009-01-01,101.79
ARG,2009-02-01,102.04
ARG,2009-03-01,98.04
ARG,2009-04-01,94.87
ARG,2009-05-01,90.96
ARG,2009-06-01,87.83
ARG,2009-07-01,86.41
ARG,2009-08-01,84.22
ARG,2009-09-01,83.21
ARG,2009-10-01,81.88
ARG,2009-11-01,81.63
ARG,2009-12-01,82.38
ARG,2010-01-01,82.62
ARG,2010-02-01,83.59
ARG,2010-03-01,83.19
ARG,2010-04-01,82.7
ARG,2010-05-01,84.53
ARG,2010-06-01,84.93
ARG,2010-07-01,83.03
ARG,2010-08-01,82.17
ARG,2010-09-01,80.93
ARG,2010-10-01,78.56
ARG,2010-11-01,79.02
ARG,2010-12-01,79.48
ARG,2011-01-01,78.71
ARG,2011-02-01,77.21
ARG,2011-03-01,76.16
ARG,2011-04-01,74.02
ARG,2011-05-01,73.89
ARG,2011-06-01,73.31
ARG,2011-07-01,72.49
ARG,2011-08-01,72.06
ARG,2011-09-01,74.28
ARG,2011-10-01,74.85
ARG,2011-11-01,74.4
ARG,2011-12-01,75.19
ARG,2012-01-01,74.46
ARG,2012-02-01,72.14
ARG,2012-03-01,73.15
ARG,2012-04-01,73.08
ARG,2012-05-01,74.14
ARG,2012-06-01,74.45
ARG,2012-07-01,73.57
ARG,2012-08-01,72.52
ARG,2012-09-01,70.71
ARG,2012-10-01,69.55
ARG,2012-11-01,68.94
ARG,2012-12-01,67.69
ARG,2013-01-01,66.09
ARG,2013-02-01,65.09
ARG,2013-03-01,64.87
ARG,2013-04-01,63.95
ARG,2013-05-01,63.44
ARG,2013-06-01,63.31
ARG,2013-07-01,62.88
ARG,2013-08-01,61.64
ARG,2013-09-01,59.49
ARG,2013-10-01,57.39
ARG,2013-11-01,56.64
ARG,2013-12-01,54.11
ARG,2014-01-01,48.64
ARG,2014-02-01,44.18
ARG,2014-03-01,43.27
ARG,2014-04-01,42.44
ARG,2014-05-01,42.16
ARG,2014-06-01,41.91
ARG,2014-07-01,41.66
ARG,2014-08-01,41.44
ARG,2014-09-01,41.77
ARG,2014-10-01,42.39
ARG,2014-11-01,42.92
ARG,2014-12-01,43.48
ARG,2015-01-01,44.08
ARG,2015-02-01,44.63
ARG,2015-03-01,45.92
ARG,2015-04-01,45.29
ARG,2015-05-01,44.39
ARG,2015-06-01,44.06
ARG,2015-07-01,44.54
ARG,2015-08-01,45.14
ARG,2015-09-01,45.67
ARG,2015-10-01,44.94
ARG,2015-11-01,44.72
ARG,2015-12-01,37.58
ARG,2016-01-01,32.22
ARG,2016-02-01,29.28
ARG,2016-03-01,28.36
ARG,2016-04-01,28.85
ARG,2016-05-01,29.43
ARG,2016-06-01,29.19
ARG,2016-07-01,27.62
ARG,2016-08-01,27.38
ARG,2016-09-01,27.01
ARG,2016-10-01,26.97
ARG,2016-11-01,27.33
ARG,2016-12-01,26.99
ARG,2017-01-01,26.34
ARG,2017-02-01,26.53
ARG,2017-03-01,26.68
ARG,2017-04-01,26.88
ARG,2017-05-01,26.17
ARG,2017-06-01,25.53
ARG,2017-07-01,23.59
ARG,2017-08-01,22.98
ARG,2017-09-01,23.07
ARG,2017-10-01,23.06
ARG,2017-11-01,23.18
ARG,2017-12-01,22.84
ARG,2018-01-01,20.87
ARG,2018-02-01,19.91
