iso3,GAIN,date
ARG,1.06836011322791,2003-01-01
ARG,0.9024838377346,2004-01-01
ARG,1.14013006863099,2005-01-01
ARG,-0.347935520891426,2006-01-01
ARG,-0.544588427606712,2007-01-01
ARG,-1.16815252417501,2008-01-01
ARG,-0.718009743571045,2009-01-01
ARG,-0.919345491300611,2010-01-01
ARG,-1.59554400496244,2011-01-01
ARG,-1.97973519563067,2012-01-01
ARG,-2.50243790739743,2013-01-01
ARG,-2.76859492745432,2014-01-01
ARG,-3.10339347993437,2015-01-01
ARG,-1.57002503716746,2016-01-01
ARG,-2.89491378585956,2017-01-01
ARG,-1.41360401559796,2018-01-01
ARG,-0.66609263299312,2019-01-01
ARG,0.0115282428542756,2020-01-01
ARG,-2.55752318896847,2021-01-01
ARG,-3.87948582819216,2022-01-01
ARG,-3.80784981692486,2023-01-01
ARM,5.95457455451319,1995-01-01
ARM,6.21364612283539,1996-01-01
ARM,5.03549782954678,1997-01-01
ARM,4.84590590258731,1998-01-01
ARM,5.47981358671095,1999-01-01
ARM,5.69599151911488,2000-01-01
ARM,5.62716243887778,2001-01-01
ARM,7.0037907317207,2002-01-01
ARM,7.31574362050698,2003-01-01
ARM,6.67898850915325,2004-01-01
ARM,7.21267545401448,2005-01-01
ARM,6.26263469968193,2006-01-01
ARM,5.57090063000197,2007-01-01
ARM,6.6285785882763,2008-01-01
ARM,6.99329034193068,2009-01-01
ARM,7.11512641530653,2010-01-01
ARM,7.03851412201964,2011-01-01
ARM,6.88905381562365,2012-01-01
ARM,7.69868292775237,2013-01-01
ARM,8.75949555762093,2014-01-01
ARM,8.94746637887687,2015-01-01
ARM,8.99538593763659,2016-01-01
ARM,8.51879696398246,2017-01-01
ARM,8.81314383561133,2018-01-01
ARM,9.11872796512984,2019-01-01
ARM,9.67299198217905,2020-01-01
ARM,9.76248665416186,2021-01-01
ARM,8.69259570819349,2022-01-01
ARM,8.15882388995605,2023-01-01
ATG,1.54671039641919,1995-01-01
ATG,1.22286562357505,1996-01-01
